navrhujícístrana,politickápříslušnost,pořadízvolení/náhradníka,mandát,číslo,název,poř.číslo,"příjmení, jméno, tituly",věk,abs.,v %
7,"Svobodní, Soukr. a Volba OK",31,Dolák Lukáš,44,Soukromníci,BEZPP,271,"2,04",-,-
7,"Svobodní, Soukr. a Volba OK",36,Doseděl Jiří,48,VOLK,BEZPP,264,"1,99",-,-
1,Křesť.demokr.unie-Čs.str.lid.,44,Dosoudilová Silvie,44,KDU-ČSL,BEZPP,1 722,"1,79",40,-
1,Křesť.demokr.unie-Čs.str.lid.,13,Dostál Jan Ing.,57,KDU-ČSL,KDU-ČSL,2 150,"2,24",10,-
3,SPD T.OKAMURA a SPO ZEMANOVCI,44,Dostálová Marcela,36,SPOZ,BEZPP,1 434,"1,99",41,-
6,NAŠE KRÁSNÁ OLOMOUC,19,Drešr Jaroslav,30,NK,BEZPP,382,"2,19",-,-
10,"SPR-REP.STR.ČECH,MORAVY,SLEZ.",2,Dufek Jiří,66,SPR-RSČMS,SPR-RSČMS,82,"3,57",-,-
9,JAUNER Československo 2018,44,Durčák Jan,41,JAUNER,BEZPP,45,"2,29",-,-
12,PIRÁTI A STAROSTOVÉ,17,Dvořák Jan Ing.,47,Piráti,Piráti,3 475,"2,25",11,-
16,Česká str.sociálně demokrat.,41,Dvořáková Jaroslava,68,ČSSD,ČSSD,1 279,"1,97",39,-
12,PIRÁTI A STAROSTOVÉ,41,Eliáš Radek Mgr.,36,Piráti,Piráti,3 106,"2,01",35,-
10,"SPR-REP.STR.ČECH,MORAVY,SLEZ.",37,Endlicher Jiří,64,SPR-RSČMS,BEZPP,64,"2,78",-,-
9,JAUNER Československo 2018,25,Erbesová Lenka,45,JAUNER,SKP - ŘN,45,"2,29",-,-
6,NAŠE KRÁSNÁ OLOMOUC,39,Falašta Vlastimil,53,NK,BEZPP,351,"2,01",-,-
5,TOP 09 a nezávislí,18,Fasner Michal Mgr.,53,NK,BEZPP,1 275,"2,25",-,-
8,ANO 2011,3,Ferancová Miroslava Mgr.,50,ANO,ANO,7 973,"2,31",3,*
8,ANO 2011,9,Feranec Milan Mgr.,54,ANO,ANO,7 845,"2,27",9,*
9,JAUNER Československo 2018,8,Finková Josefa,63,JAUNER,JAUNER,51,"2,60",-,-
9,JAUNER Československo 2018,38,Flachs Mario,18,JAUNER,JAUNER,37,"1,88",-,-
13,spOLečně,1,Flek Stanislav Ing.,49,spOL,spOL,2 125,"2,77",3,*
12,PIRÁTI A STAROSTOVÉ,10,Fojtík Petr Mgr.,38,STAN,STAN,3 577,"2,31",4,-
1,Křesť.demokr.unie-Čs.str.lid.,26,Fojtík Tomáš Ing.,35,KDU-ČSL,KDU-ČSL,2 069,"2,16",22,-
11,ProOlomouc,23,Foret Vladimír,35,ProOl,BEZPP,3 454,"2,20",17,-
12,PIRÁTI A STAROSTOVÉ,24,Forýtek Jiří,36,STAN,STAN,3 355,"2,17",18,-
14,Občanská demokratická strana,11,Frank Jan Ing.,48,ODS,ODS,3 147,"2,23",6,-
12,PIRÁTI A STAROSTOVÉ,20,Frantík Michal,41,STAN,STAN,3 412,"2,21",14,-
6,NAŠE KRÁSNÁ OLOMOUC,7,Freiwaldová Blanka MUDr.,54,NK,BEZPP,478,"2,74",-,-
3,SPD T.OKAMURA a SPO ZEMANOVCI,29,Frič Ivo,43,SPD,SPD,1 573,"2,18",26,-
14,Občanská demokratická strana,19,Fritscherová Jarmila PhDr.,63,ODS,ODS,3 150,"2,23",14,-
13,spOLečně,2,Fryšák Pavel Mgr.,41,spOL,spOL,1 991,"2,59",1,-
2,Strana zelených,12,Gabčo Burdejová Zuzana,34,Zelení,BEZPP,551,"2,22",-,-
16,Česká str.sociálně demokrat.,2,Gajdůšek Miroslav Mgr. MBA,49,ČSSD,ČSSD,1 745,"2,69",1,-
9,JAUNER Československo 2018,30,Galla Aleš,36,JAUNER,JAUNER,40,"2,04",-,-
12,PIRÁTI A STAROSTOVÉ,22,Gatěk Roman,40,STAN,BEZPP,3 382,"2,19",16,-
9,JAUNER Československo 2018,7,Gerlich František,58,JAUNER,JAUNER,40,"2,04",-,-
4,Komunistická str.Čech a Moravy,16,Geršl Jiří,39,KSČM,BEZPP,1 545,"2,26",14,-
1,Křesť.demokr.unie-Čs.str.lid.,4,Giacintov Michal Ing. arch.,55,KDU-ČSL,KDU-ČSL,2 712,"2,83",3,*
14,Občanská demokratická strana,25,Gottwald Jan,61,ODS,ODS,3 133,"2,22",20,-
11,ProOlomouc,2,Grasse Pavel Ing. arch.,57,ProOl,ProOl,4 218,"2,69",2,*
3,SPD T.OKAMURA a SPO ZEMANOVCI,16,Gregorová Michaela Ing.,45,SPOZ,BEZPP,1 605,"2,23",13,-
7,"Svobodní, Soukr. a Volba OK",8,Grossmann Zdeněk,25,VOLK,BEZPP,316,"2,38",-,-
3,SPD T.OKAMURA a SPO ZEMANOVCI,25,Habustová Jana Mgr.,62,SPD,BEZPP,1 580,"2,19",22,-
13,spOLečně,39,Háger Ivo,51,spOL,spOL,1 632,"2,13",36,-
1,Křesť.demokr.unie-Čs.str.lid.,7,Hainc Rostislav Ing. Bc.,30,KDU-ČSL,KDU-ČSL,2 466,"2,57",1,-
1,Křesť.demokr.unie-Čs.str.lid.,28,Hajdu Filip Mgr.,36,KDU-ČSL,BEZPP,2 096,"2,19",24,-
9,JAUNER Československo 2018,17,Hájek Jan,61,JAUNER,JAUNER,39,"1,98",-,-
8,ANO 2011,42,Hájková Kateřina,42,ANO,BEZPP,7 204,"2,09",28,-
4,Komunistická str.Čech a Moravy,3,Halas Přemysl,25,KSČM,KSČM,1 636,"2,39",2,-
4,Komunistická str.Čech a Moravy,17,Halasová Eva,50,KSČM,BEZPP,1 507,"2,20",15,-
14,Občanská demokratická strana,40,Hálek Jan prof. Ing. CSc.,75,ODS,ODS,2 995,"2,12",35,-
8,ANO 2011,35,Hampl Stanislav Bc. DiS.,31,ANO,BEZPP,7 547,"2,19",21,-
12,PIRÁTI A STAROSTOVÉ,6,Hanáčková Andrea doc. Mgr. Ph.D.,46,STAN,BEZPP,3 810,"2,46",6,*
12,PIRÁTI A STAROSTOVÉ,26,Hanáčková Anežka,18,STAN,BEZPP,3 352,"2,17",20,-
14,Občanská demokratická strana,24,Hanák Jiří,62,ODS,ODS,3 086,"2,19",19,-
14,Občanská demokratická strana,10,Hanáková Marcela PhDr.,59,ODS,ODS,3 228,"2,29",5,-
10,"SPR-REP.STR.ČECH,MORAVY,SLEZ.",34,Hanelová Božena,67,SPR-RSČMS,BEZPP,55,"2,39",-,-
9,JAUNER Československo 2018,16,Hansel Petr,25,JAUNER,BEZPP,51,"2,60",-,-
9,JAUNER Československo 2018,40,Hanuš Jan,57,JAUNER,JAUNER,37,"1,88",-,-
13,spOLečně,35,Havel Miroslav,46,spOL,spOL,1 562,"2,03",32,-
7,"Svobodní, Soukr. a Volba OK",45,Havelková Martina,36,Soukromníci,BEZPP,233,"1,76",-,-
1,Křesť.demokr.unie-Čs.str.lid.,24,Havranová Kateřina Mgr.,33,KDU-ČSL,BEZPP,2 072,"2,16",20,-
13,spOLečně,4,Hebelka Milan Bc.,39,spOL,spOL,1 920,"2,50",4,-
14,Občanská demokratická strana,9,Hejtmánek Pavel MUDr.,48,ODS,ODS,3 370,"2,39",4,-
13,spOLečně,8,Hekela Pavel Mgr.,64,spOL,spOL,2 152,"2,80",2,*
11,ProOlomouc,7,Helcel David Ing. arch.,51,ProOl,ProOl,3 883,"2,48",5,*
7,"Svobodní, Soukr. a Volba OK",3,Herman David,29,Svobodní,Svobodní,338,"2,55",-,-
4,Komunistická str.Čech a Moravy,14,Hirner Michal,22,KSČM,KSČM,1 548,"2,26",12,-
13,spOLečně,18,Hladík Tomáš Ing.,29,spOL,spOL,1 656,"2,16",15,-
3,SPD T.OKAMURA a SPO ZEMANOVCI,27,Hlatký Martin,45,SPD,SPD,1 581,"2,19",24,-
3,SPD T.OKAMURA a SPO ZEMANOVCI,31,Hlatký Petr,57,SPD,SPD,1 573,"2,18",28,-
10,"SPR-REP.STR.ČECH,MORAVY,SLEZ.",17,Hlavatý Petr,60,SPR-RSČMS,SPR-RSČMS,58,"2,52",-,-
6,NAŠE KRÁSNÁ OLOMOUC,16,Hliněný Miloslav,57,NK,BEZPP,356,"2,04",-,-
16,Česká str.sociálně demokrat.,11,Hofírek Pavel Mgr.,36,ČSSD,ČSSD,1 521,"2,35",11,-
3,SPD T.OKAMURA a SPO ZEMANOVCI,43,Hofman Pavel,25,SPD,SPD,1 467,"2,03",40,-
6,NAŠE KRÁSNÁ OLOMOUC,45,Hofmeister Jaroslav,33,NK,BEZPP,323,"1,85",-,-
9,JAUNER Československo 2018,35,Hofmeister Lubomír,46,JAUNER,BEZPP,39,"1,98",-,-
16,Česká str.sociálně demokrat.,21,Holásek Radan Ing. B.A.,32,ČSSD,ČSSD,1 428,"2,20",19,-
2,Strana zelených,17,Holec Miloš Mgr.,31,Zelení,Zelení,490,"1,97",-,-
14,Občanská demokratická strana,3,Holpuch Jan RNDr. Ph.D.,46,ODS,ODS,3 543,"2,51",3,*
2,Strana zelených,43,Holubec Michal,37,Zelení,BEZPP,430,"1,73",-,-
15,Moravské zemské hnutí,3,Holzer Miloš RNDr.,67,MZH,BEZPP,170,"9,05",-,-
5,TOP 09 a nezávislí,13,Horáček Evžen Ing.,59,TOP 09,TOP 09,1 313,"2,31",-,-
5,TOP 09 a nezávislí,6,Horák Pavel prof. MUDr. CSc.,52,NK,BEZPP,1 687,"2,97",-,-
5,TOP 09 a nezávislí,4,Hrabal Jiří Mgr. Ph.D.,44,NK,BEZPP,1 531,"2,70",-,-
4,Komunistická str.Čech a Moravy,37,Hrbáček Petr Ing.,69,KSČM,KSČM,1 453,"2,12",35,-
7,"Svobodní, Soukr. a Volba OK",42,Hrbáček Tomáš Ing.,41,Soukromníci,BEZPP,265,"2,00",-,-
4,Komunistická str.Čech a Moravy,43,Hrbáčková Zdeňka Mgr.,74,KSČM,KSČM,1 402,"2,05",41,-
15,Moravské zemské hnutí,17,Hrubý Milan Ing.,85,MZH,BEZPP,51,"2,71",-,-
7,"Svobodní, Soukr. a Volba OK",18,Hruška Pavel Mgr.,42,Svobodní,Svobodní,311,"2,35",-,-
7,"Svobodní, Soukr. a Volba OK",9,Hrušková Břeňová Pavla Mgr.,39,Svobodní,Svobodní,330,"2,49",-,-
6,NAŠE KRÁSNÁ OLOMOUC,23,Hudeček Jan,20,NK,BEZPP,364,"2,08",-,-
16,Česká str.sociálně demokrat.,32,Hušek Václav Mgr.,74,ČSSD,ČSSD,1 352,"2,09",30,-
4,Komunistická str.Čech a Moravy,30,Hutečková Ludmila,62,KSČM,KSČM,1 478,"2,16",28,-
14,Občanská demokratická strana,44,Chládek Miloš Ing.,70,ODS,ODS,2 608,"1,85",39,-
2,Strana zelených,39,Chládková Marie,25,Zelení,BEZPP,513,"2,06",-,-
15,Moravské zemské hnutí,19,Chladnuch Jan,75,MZH,BEZPP,57,"3,03",-,-
7,"Svobodní, Soukr. a Volba OK",11,Chmel Petr,39,VOLK,BEZPP,286,"2,16",-,-
14,Občanská demokratická strana,38,Chmelík Radim Mgr. Ph.D.,37,ODS,ODS,2 991,"2,12",33,-
14,Občanská demokratická strana,34,Chrenko Roman Ing. Bc.,45,ODS,ODS,3 061,"2,17",29,-
7,"Svobodní, Soukr. a Volba OK",26,Churavý František,48,VOLK,BEZPP,281,"2,12",-,-
6,NAŠE KRÁSNÁ OLOMOUC,26,Chytilová Eva,48,NK,BEZPP,384,"2,20",-,-
10,"SPR-REP.STR.ČECH,MORAVY,SLEZ.",22,Ilgner Vladimír Ing.,77,SPR-RSČMS,BEZPP,60,"2,61",-,-
9,JAUNER Československo 2018,11,Ilíková Dana,49,JAUNER,BEZPP,49,"2,50",-,-
5,TOP 09 a nezávislí,1,Jakubec Aleš RNDr. Ph.D.,42,TOP 09,TOP 09,2 309,"4,07",-,-
13,spOLečně,26,Janák Luděk Ing.,28,spOL,spOL,1 627,"2,12",23,-
15,Moravské zemské hnutí,8,Jančík Zdeněk PaedDr.,58,MZH,BEZPP,66,"3,51",-,-
15,Moravské zemské hnutí,13,Jančíková Milada PaedDr.,59,MZH,BEZPP,64,"3,40",-,-
5,TOP 09 a nezávislí,9,Janečková Ivana,59,TOP 09,TOP 09,1 282,"2,26",-,-
3,SPD T.OKAMURA a SPO ZEMANOVCI,40,Janíčková Markéta,24,SPD,SPD,1 519,"2,11",37,-
3,SPD T.OKAMURA a SPO ZEMANOVCI,42,Jankovský Adolf PhDr.,81,SPOZ,BEZPP,1 484,"2,06",39,-
11,ProOlomouc,11,Jasiok Luděk Ing. arch.,51,ProOl,BEZPP,3 627,"2,31",5,-
9,JAUNER Československo 2018,13,Ječmínek Aleš,39,JAUNER,JAUNER,42,"2,14",-,-
6,NAŠE KRÁSNÁ OLOMOUC,20,Jelínek Jan Mgr.,38,NK,BEZPP,392,"2,24",-,-
4,Komunistická str.Čech a Moravy,18,Jelínek Martin,53,KSČM,KSČM,1 525,"2,23",16,-
3,SPD T.OKAMURA a SPO ZEMANOVCI,5,Jelínek Pavel Ing. PhD.,55,SPD,SPD,1 713,"2,38",2,-
11,ProOlomouc,18,Jeništa Alexandr Mgr.,41,ProOl,BEZPP,3 580,"2,28",12,-
5,TOP 09 a nezávislí,26,Jeništová Ivana,70,NK,BEZPP,1 187,"2,09",-,-
12,PIRÁTI A STAROSTOVÉ,33,Jesenská Jana,44,Piráti,BEZPP,3 321,"2,15",27,-
3,SPD T.OKAMURA a SPO ZEMANOVCI,1,Jirotka Martin Ing.,51,SPD,SPD,1 820,"2,52",2,*
5,TOP 09 a nezávislí,31,Jochmannová Hana MUDr.,78,TOP 09,TOP 09,1 155,"2,03",-,-
15,Moravské zemské hnutí,7,Juna Jan Ing.,57,MZH,BEZPP,90,"4,79",-,-
11,ProOlomouc,16,Jung Filip Mgr.,32,ProOl,BEZPP,3 506,"2,24",10,-
13,spOLečně,33,Juriková Eva,56,spOL,spOL,1 567,"2,04",30,-
8,ANO 2011,28,Juřena Jiří Ing.,70,ANO,BEZPP,7 616,"2,21",14,-
11,ProOlomouc,21,Kabelka Ondřej Ing.,27,ProOl,BEZPP,3 423,"2,18",15,-
5,TOP 09 a nezávislí,45,Kaděrka Oto Ing.,54,NK,BEZPP,955,"1,68",-,-
10,"SPR-REP.STR.ČECH,MORAVY,SLEZ.",19,Kadlec Miroslav,79,SPR-RSČMS,SPR-RSČMS,56,"2,44",-,-
3,SPD T.OKAMURA a SPO ZEMANOVCI,8,Kaláb Stanislav Mgr.,67,SPOZ,BEZPP,1 705,"2,36",5,-
1,Křesť.demokr.unie-Čs.str.lid.,45,Kalman Pavel Mgr.,62,KDU-ČSL,BEZPP,1 666,"1,74",41,-
1,Křesť.demokr.unie-Čs.str.lid.,3,Kalodová Ivana,50,KDU-ČSL,KDU-ČSL,2 491,"2,60",4,*
2,Strana zelených,40,Kalodová Sára,26,Zelení,BEZPP,473,"1,90",-,-
6,NAŠE KRÁSNÁ OLOMOUC,37,Kamínková Jana,37,NK,BEZPP,348,"1,99",-,-
4,Komunistická str.Čech a Moravy,12,Kania Jindřich PaedDr.,65,KSČM,KSČM,1 570,"2,29",10,-
13,spOLečně,14,Kapsia David,30,spOL,BEZPP,1 795,"2,34",11,-
4,Komunistická str.Čech a Moravy,23,Karafiát Josef,60,KSČM,KSČM,1 512,"2,21",21,-
8,ANO 2011,43,Karger Josef Ing.,77,ANO,BEZPP,7 094,"2,05",29,-
5,TOP 09 a nezávislí,20,Kašpar Martin,30,NK,BEZPP,1 204,"2,12",-,-
14,Občanská demokratická strana,5,Kaštil Josef Bc.,33,ODS,ODS,3 461,"2,45",5,*
16,Česká str.sociálně demokrat.,10,Kaštilová Tesařová Hana,59,ČSSD,ČSSD,1 490,"2,30",10,-
13,spOLečně,41,Kazár Tomáš,33,spOL,spOL,1 512,"1,97",38,-
1,Křesť.demokr.unie-Čs.str.lid.,40,Kellner Štěpán Bc.,40,KDU-ČSL,KDU-ČSL,1 900,"1,98",36,-
2,Strana zelených,5,Kindl Miroslav Mgr.,39,Zelení,Zelení,674,"2,71",-,-
16,Česká str.sociálně demokrat.,42,Kirschbaum Jakub,19,ČSSD,ČSSD,1 258,"1,94",40,-
16,Česká str.sociálně demokrat.,39,Kladiva Adam,24,ČSSD,ČSSD,1 303,"2,01",37,-
2,Strana zelených,8,Klimeš Jiří Bc.,31,Zelení,Zelení,595,"2,40",-,-
5,TOP 09 a nezávislí,28,Klimešová Iva PhDr. Ph.D.,55,NK,BEZPP,1 232,"2,17",-,-
12,PIRÁTI A STAROSTOVÉ,14,Klopcová Lenka,44,STAN,STAN,3 480,"2,25",8,-
12,PIRÁTI A STAROSTOVÉ,42,Klopec Vítězslav,45,STAN,STAN,2 989,"1,93",36,-
4,Komunistická str.Čech a Moravy,41,Kmeť Ján,70,KSČM,BEZPP,1 423,"2,08",39,-
12,PIRÁTI A STAROSTOVÉ,9,Knápek Jakub Mgr.,44,Piráti,Piráti,3 866,"2,50",5,*
2,Strana zelených,3,Kocourek František Ing.,45,Zelení,Zelení,702,"2,83",-,-
6,NAŠE KRÁSNÁ OLOMOUC,4,Kodym Tomáš,35,NK,BEZPP,473,"2,71",-,-
14,Občanská demokratická strana,43,Kohn Pavel  LL.M.,42,ODS,ODS,2 738,"1,94",38,-
3,SPD T.OKAMURA a SPO ZEMANOVCI,17,Koch Jiří Ing.,48,SPD,BEZPP,1 610,"2,23",14,-
6,NAŠE KRÁSNÁ OLOMOUC,2,Kochta Jakub,24,NK,BEZPP,451,"2,58",-,-
8,ANO 2011,5,Kolářová Eva,62,ANO,ANO,7 898,"2,29",5,*
12,PIRÁTI A STAROSTOVÉ,32,Kolesár Michal Bc.,23,STAN,BEZPP,3 312,"2,14",26,-
1,Křesť.demokr.unie-Čs.str.lid.,20,Kolomazníková Jana PhDr.,41,KDU-ČSL,KDU-ČSL,2 090,"2,18",16,-
13,spOLečně,37,Komárek Vít,36,spOL,spOL,1 547,"2,01",34,-
1,Křesť.demokr.unie-Čs.str.lid.,5,Konečná Renata Mgr.,45,KDU-ČSL,KDU-ČSL,2 295,"2,39",4,-
7,"Svobodní, Soukr. a Volba OK",40,Konečná Vladimíra,50,VOLK,BEZPP,256,"1,93",-,-
9,JAUNER Československo 2018,43,Konečný Adam,26,JAUNER,JAUNER,44,"2,24",-,-
8,ANO 2011,2,Konečný Karel doc. PhDr. CSc.,53,ANO,ANO,8 102,"2,35",2,*
1,Křesť.demokr.unie-Čs.str.lid.,17,Konečný Petr Mgr. Ing.,51,KDU-ČSL,KDU-ČSL,2 243,"2,34",13,-
13,spOLečně,34,König Radim,41,spOL,spOL,1 583,"2,06",31,-
4,Komunistická str.Čech a Moravy,32,Kopečný Antonín,73,KSČM,KSČM,1 484,"2,17",30,-
4,Komunistická str.Čech a Moravy,25,Kopečný Miroslav Mgr.,61,KSČM,KSČM,1 492,"2,18",23,-
2,Strana zelených,30,Kopetzká Zuzana Bc.,28,Zelení,BEZPP,474,"1,91",-,-
13,spOLečně,17,Koráb Jan,53,spOL,spOL,1 672,"2,18",14,-
2,Strana zelených,7,Korda Jakub Mgr. Ph.D.,41,Zelení,Zelení,669,"2,69",-,-
2,Strana zelených,45,Kořínek Richard Mgr.,45,Zelení,Zelení,545,"2,19",-,-
2,Strana zelených,9,Kořínková Gabriela Mgr. Ph.D.,44,Zelení,Zelení,651,"2,62",-,-
1,Křesť.demokr.unie-Čs.str.lid.,6,Kosina Ivo,49,KDU-ČSL,KDU-ČSL,2 254,"2,35",5,-
15,Moravské zemské hnutí,12,Košík Jiří,85,MZH,BEZPP,52,"2,77",-,-
7,"Svobodní, Soukr. a Volba OK",43,Kóšová Radka,45,VOLK,BEZPP,256,"1,93",-,-
7,"Svobodní, Soukr. a Volba OK",7,Kotyza Martin,50,Soukromníci,BEZPP,326,"2,46",-,-
1,Křesť.demokr.unie-Čs.str.lid.,31,Koubek Martin Ing.,48,KDU-ČSL,KDU-ČSL,2 069,"2,16",27,-
10,"SPR-REP.STR.ČECH,MORAVY,SLEZ.",8,Koudelková Uhlíková Ingrid,46,SPR-RSČMS,BEZPP,78,"3,40",-,-
9,JAUNER Československo 2018,22,Kouřil Jaroslav,60,JAUNER,JAUNER,53,"2,70",-,-
2,Strana zelených,18,Koutková Alena,38,Zelení,Zelení,504,"2,03",-,-
13,spOLečně,15,Koutná Kristýna Mgr.,31,spOL,spOL,1 680,"2,19",12,-
6,NAŠE KRÁSNÁ OLOMOUC,36,Koutná Renata,57,NK,BEZPP,344,"1,97",-,-
8,ANO 2011,29,Koutná Zuzana,45,ANO,BEZPP,7 618,"2,21",15,-
9,JAUNER Československo 2018,37,Kovář Pavel,48,JAUNER,BEZPP,40,"2,04",-,-
5,TOP 09 a nezávislí,14,Kovářík Zdeněk Bc. DiS.,33,NK,BEZPP,1 269,"2,24",-,-
5,TOP 09 a nezávislí,2,Kovaříková Dominika Mgr.,40,NK,BEZPP,1 893,"3,34",-,-
4,Komunistická str.Čech a Moravy,22,Krajsová Jana,59,KSČM,KSČM,1 498,"2,19",20,-
1,Křesť.demokr.unie-Čs.str.lid.,14,Král Milan MUDr. Ph.D.,39,KDU-ČSL,BEZPP,2 354,"2,46",3,-
14,Občanská demokratická strana,16,Král Milan Mgr.,55,ODS,ODS,3 194,"2,26",11,-
13,spOLečně,11,Králík Dominik,35,spOL,spOL,1 672,"2,18",8,-
14,Občanská demokratická strana,22,Králíková Barbora Mgr.,51,ODS,ODS,3 161,"2,24",17,-
9,JAUNER Československo 2018,32,Královič Tomáš,19,JAUNER,JAUNER,38,"1,93",-,-
14,Občanská demokratická strana,8,Krátký Jaroslav,46,ODS,ODS,3 172,"2,25",3,-
6,NAŠE KRÁSNÁ OLOMOUC,32,Kratochvíl Petr,44,NK,BEZPP,365,"2,09",-,-
13,spOLečně,29,Kraus Bohuslav,62,spOL,spOL,1 610,"2,10",26,-
13,spOLečně,12,Krbeček Lukáš Bc.,24,spOL,spOL,1 653,"2,15",9,-
16,Česká str.sociálně demokrat.,20,Krček Antonín,70,ČSSD,ČSSD,1 385,"2,14",18,-
10,"SPR-REP.STR.ČECH,MORAVY,SLEZ.",5,Krejcarová Pavla,32,SPR-RSČMS,BEZPP,61,"2,65",-,-
3,SPD T.OKAMURA a SPO ZEMANOVCI,20,Krejčí Květoslav PhDr.,65,SPOZ,BEZPP,1 584,"2,20",17,-
3,SPD T.OKAMURA a SPO ZEMANOVCI,7,Krejčiřík Petr Ing.,50,SPD,SPD,1 666,"2,31",4,-
16,Česká str.sociálně demokrat.,7,Kropáč Jiří Ing. MBA,63,ČSSD,ČSSD,1 470,"2,27",7,-
4,Komunistická str.Čech a Moravy,9,Kropáček Antonín Ing.,55,KSČM,KSČM,1 613,"2,35",7,-
7,"Svobodní, Soukr. a Volba OK",35,Krososka Pavel,70,Soukromníci,BEZPP,280,"2,11",-,-
2,Strana zelených,26,Kroulík Miloš Mgr.,33,Zelení,Zelení,491,"1,98",-,-
16,Česká str.sociálně demokrat.,12,Kroutilová Eva Mgr.,50,ČSSD,ČSSD,1 456,"2,25",12,-
11,ProOlomouc,22,Krudencová Barbora Bc.,43,ProOl,BEZPP,3 466,"2,21",16,-
2,Strana zelených,11,Krutilová Dagmar PhDr.,56,Zelení,BEZPP,571,"2,30",-,-
15,Moravské zemské hnutí,1,Kryl Tomáš Ing.,42,MZH,BEZPP,187,"9,96",-,-
8,ANO 2011,8,Kryl Václav,53,ANO,ANO,7 846,"2,27",8,*
16,Česká str.sociálně demokrat.,26,Krystýn Luděk Mgr.,48,ČSSD,ČSSD,1 366,"2,11",24,-
8,ANO 2011,34,Křenek Petr Ing.,70,ANO,BEZPP,7 524,"2,18",20,-
1,Křesť.demokr.unie-Čs.str.lid.,39,Křivánek Jaroslav,39,KDU-ČSL,BEZPP,1 953,"2,04",35,-
8,ANO 2011,32,Křivánková Janka Mgr.,45,ANO,ANO,7 573,"2,19",18,-
8,ANO 2011,38,Kříž Rostislav,41,ANO,BEZPP,7 411,"2,15",24,-
11,ProOlomouc,19,Kříž Zdeněk,49,ProOl,ProOl,3 461,"2,21",13,-
10,"SPR-REP.STR.ČECH,MORAVY,SLEZ.",13,Kuba Dalibor Ing.,74,SPR-RSČMS,SPR-RSČMS,59,"2,57",-,-
15,Moravské zemské hnutí,20,Kuba Václav,38,MZH,BEZPP,68,"3,62",-,-
3,SPD T.OKAMURA a SPO ZEMANOVCI,2,Kubíček Jiří Mgr.,62,SPOZ,BEZPP,1 882,"2,61",1,*
15,Moravské zemské hnutí,9,Kubíček Petr,66,MZH,BEZPP,63,"3,35",-,-
16,Česká str.sociálně demokrat.,3,Kubjátová Yvona Mgr.,49,ČSSD,ČSSD,1 837,"2,84",2,*
15,Moravské zemské hnutí,15,Kubová Mária,66,MZH,BEZPP,48,"2,55",-,-
12,PIRÁTI A STAROSTOVÉ,12,Kucsa Roman Mgr.,34,STAN,STAN,3 496,"2,26",6,-
1,Křesť.demokr.unie-Čs.str.lid.,25,Kučera Martin PhDr.,37,KDU-ČSL,BEZPP,2 093,"2,18",21,-
10,"SPR-REP.STR.ČECH,MORAVY,SLEZ.",32,Kuhnová Kristýna,27,SPR-RSČMS,BEZPP,65,"2,83",-,-
8,ANO 2011,11,Kuchař Jaroslav Ing.,62,ANO,ANO,7 789,"2,26",11,*
9,JAUNER Československo 2018,28,Kuchařík Vít,46,JAUNER,JAUNER,39,"1,98",-,-
8,ANO 2011,33,Kuchválek Miroslav,71,ANO,ANO,7 544,"2,19",19,-
11,ProOlomouc,39,Kunčík Jan Ing.,35,ProOl,BEZPP,3 166,"2,02",33,-
4,Komunistická str.Čech a Moravy,31,Kurfürstová Božena,66,KSČM,KSČM,1 473,"2,15",29,-
13,spOLečně,24,Kutrová Pavlína Bc.,39,spOL,spOL,1 620,"2,11",21,-
3,SPD T.OKAMURA a SPO ZEMANOVCI,32,Kvapil Luděk Mgr. Ph.D.,56,SPD,SPD,1 592,"2,21",29,-
5,TOP 09 a nezávislí,33,Kvapil Petr Mgr.,39,NK,BEZPP,1 132,"1,99",-,-
15,Moravské zemské hnutí,16,Kvapil Tomáš,79,MZH,BEZPP,56,"2,98",-,-
8,ANO 2011,20,Lakomá Iva RNDr.,55,ANO,ANO,7 756,"2,25",6,-
5,TOP 09 a nezávislí,11,Langer Milan Mgr.,59,NK,BEZPP,1 456,"2,57",-,-
13,spOLečně,10,Látalová Jolana,47,spOL,spOL,1 795,"2,34",7,-
2,Strana zelených,38,Leinert Jakub,35,Zelení,BEZPP,472,"1,90",-,-
8,ANO 2011,6,Lindner Radim Mgr.,40,ANO,ANO,7 948,"2,30",6,*
13,spOLečně,21,Liška Radek Ing. arch.,48,spOL,spOL,1 693,"2,21",18,-
2,Strana zelených,28,Livingstone Ladislava,48,Zelení,BEZPP,542,"2,18",-,-
8,ANO 2011,12,Lošťák Jaromír,45,ANO,ANO,7 832,"2,27",12,*
8,ANO 2011,44,Loun Michal,24,ANO,BEZPP,6 925,"2,01",30,-
9,JAUNER Československo 2018,36,Lounová Eva,21,JAUNER,JAUNER,44,"2,24",-,-
11,ProOlomouc,6,Lubič Martin akad. soch.,56,ProOl,ProOl,3 878,"2,47",6,*
5,TOP 09 a nezávislí,36,Ludwig Marcel Ing.,29,TOP 09,TOP 09,1 105,"1,95",-,-
10,"SPR-REP.STR.ČECH,MORAVY,SLEZ.",6,Lutrová Radka,45,SPR-RSČMS,BEZPP,59,"2,57",-,-
11,ProOlomouc,3,Macek Petr,38,ProOl,ProOl,3 893,"2,48",4,*
2,Strana zelených,24,Machačíková Kristina,26,Zelení,Zelení,504,"2,03",-,-
