navrhujícístrana,politickápříslušnost,pořadízvolení/náhradníka,mandát,číslo,název,poř.číslo,"příjmení, jméno, tituly",věk,abs.,v %
6,NAŠE KRÁSNÁ OLOMOUC,9,Švec Jan,30,NK,BEZPP,403,"2,31",-,-
5,TOP 09 a nezávislí,3,Taclová Anna Ing.,62,TOP 09,TOP 09,1 581,"2,79",-,-
1,Křesť.demokr.unie-Čs.str.lid.,30,Tesařík Vladislav Mgr.,55,KDU-ČSL,BEZPP,2 082,"2,17",26,-
4,Komunistická str.Čech a Moravy,38,Tesařová Eva,69,KSČM,KSČM,1 442,"2,10",36,-
7,"Svobodní, Soukr. a Volba OK",39,Thun Pavel,52,Soukromníci,BEZPP,268,"2,02",-,-
12,PIRÁTI A STAROSTOVÉ,3,Tichák Viktor Mgr.,28,Piráti,Piráti,3 875,"2,51",4,*
3,SPD T.OKAMURA a SPO ZEMANOVCI,30,Tichý Martin,42,SPOZ,BEZPP,1 571,"2,18",27,-
8,ANO 2011,4,Tichý Miloslav Mgr.,30,ANO,ANO,7 934,"2,30",4,*
16,Česká str.sociálně demokrat.,38,Tichý Miroslav Ing.,46,ČSSD,ČSSD,1 341,"2,07",36,-
4,Komunistická str.Čech a Moravy,15,Tilkeridis Petr Mgr.,53,KSČM,BEZPP,1 546,"2,26",13,-
9,JAUNER Československo 2018,31,Tkadlec Josef,44,JAUNER,JAUNER,39,"1,98",-,-
7,"Svobodní, Soukr. a Volba OK",34,Toman Miroslav,39,VOLK,BEZPP,261,"1,97",-,-
10,"SPR-REP.STR.ČECH,MORAVY,SLEZ.",20,Tomanová Renata,51,SPR-RSČMS,BEZPP,55,"2,39",-,-
14,Občanská demokratická strana,27,Tomeš Martin Mgr.,37,ODS,ODS,3 090,"2,19",22,-
7,"Svobodní, Soukr. a Volba OK",32,Továrková Kateřina,40,VOLK,BEZPP,264,"1,99",-,-
4,Komunistická str.Čech a Moravy,21,Třeská Štefánia,55,KSČM,BEZPP,1 496,"2,18",19,-
14,Občanská demokratická strana,42,Ťulpa Karel,56,ODS,ODS,2 835,"2,01",37,-
8,ANO 2011,41,Tuška Jiří,75,ANO,BEZPP,7 260,"2,10",27,-
9,JAUNER Československo 2018,14,Ulman Vlastislav,50,JAUNER,JAUNER,41,"2,09",-,-
14,Občanská demokratická strana,29,Urbášek Michal Mgr.,64,ODS,ODS,3 100,"2,20",24,-
16,Česká str.sociálně demokrat.,16,Urbášek Pavel PhDr.,58,ČSSD,ČSSD,1 615,"2,49",5,-
3,SPD T.OKAMURA a SPO ZEMANOVCI,23,Útratová Lea MUDr.,54,SPD,SPD,1 615,"2,24",20,-
2,Strana zelených,1,Vacková Hana Ing. Mgr.,64,Zelení,Zelení,1 021,"4,11",-,-
7,"Svobodní, Soukr. a Volba OK",30,Valenta Pavel,43,Soukromníci,BEZPP,283,"2,13",-,-
16,Česká str.sociálně demokrat.,5,Váňa Roman Ing.,51,ČSSD,ČSSD,1 619,"2,50",4,-
8,ANO 2011,10,Vanečková Magdaléna,45,ANO,ANO,7 828,"2,27",10,*
2,Strana zelených,16,Varguličová Ivana,49,Zelení,Zelení,510,"2,05",-,-
2,Strana zelených,41,Varguličová Michaela,50,Zelení,BEZPP,454,"1,83",-,-
14,Občanská demokratická strana,41,Vařeková Eva,70,ODS,ODS,2 847,"2,02",36,-
5,TOP 09 a nezávislí,43,Vašíčková Jana doc. Mgr. Ph.D.,45,NK,BEZPP,1 024,"1,80",-,-
14,Občanská demokratická strana,33,Vávra Marek Bc.,33,ODS,ODS,3 046,"2,16",28,-
11,ProOlomouc,31,Vavrdová Alena  Ph.D.,58,ProOl,BEZPP,3 375,"2,15",25,-
4,Komunistická str.Čech a Moravy,33,Večerka František,66,KSČM,KSČM,1 474,"2,15",31,-
4,Komunistická str.Čech a Moravy,2,Večeřová Liběna Ing.,51,KSČM,KSČM,1 689,"2,47",1,-
3,SPD T.OKAMURA a SPO ZEMANOVCI,4,Vejbor Petr Mgr.,37,SPOZ,SPOZ,1 680,"2,33",1,-
3,SPD T.OKAMURA a SPO ZEMANOVCI,22,Vejborová Alice PhDr.,62,SPOZ,SPOZ,1 586,"2,20",19,-
3,SPD T.OKAMURA a SPO ZEMANOVCI,36,Velenová Jarmila,68,SPD,BEZPP,1 538,"2,13",33,-
6,NAŠE KRÁSNÁ OLOMOUC,44,Velfel Aleš,52,NK,BEZPP,326,"1,87",-,-
9,JAUNER Československo 2018,24,Velim Aleš,36,JAUNER,JAUNER,42,"2,14",-,-
1,Křesť.demokr.unie-Čs.str.lid.,12,Venkrbcová Drahomíra Mgr.,56,KDU-ČSL,KDU-ČSL,2 202,"2,30",9,-
1,Křesť.demokr.unie-Čs.str.lid.,18,Venkrbec Matouš Maxmilián Bc. et Bc.,29,KDU-ČSL,KDU-ČSL,2 172,"2,26",14,-
4,Komunistická str.Čech a Moravy,8,Veselský Adam Bc.,39,KSČM,KSČM,1 599,"2,33",6,-
3,SPD T.OKAMURA a SPO ZEMANOVCI,39,Veselský Jaroslav,26,SPD,SPD,1 531,"2,12",36,-
4,Komunistická str.Čech a Moravy,44,Veverková Miroslava,83,KSČM,KSČM,1 384,"2,02",42,-
6,NAŠE KRÁSNÁ OLOMOUC,21,Vidrmanová Ilona,65,NK,BEZPP,364,"2,08",-,-
6,NAŠE KRÁSNÁ OLOMOUC,25,Vitovjáková Tereza,20,NK,BEZPP,363,"2,08",-,-
16,Česká str.sociálně demokrat.,43,Vlach Milan,25,ČSSD,ČSSD,1 225,"1,89",41,-
16,Česká str.sociálně demokrat.,24,Vlček František Mgr.,62,ČSSD,ČSSD,1 418,"2,19",22,-
16,Česká str.sociálně demokrat.,35,Vlha Roman Bc.,39,ČSSD,ČSSD,1 339,"2,07",33,-
16,Česká str.sociálně demokrat.,40,Vodáková Soňa Mgr.,51,ČSSD,ČSSD,1 299,"2,00",38,-
13,spOLečně,27,Vodáková Zuzana Bc.,33,spOL,spOL,1 609,"2,10",24,-
6,NAŠE KRÁSNÁ OLOMOUC,24,Votočková Eva,75,NK,BEZPP,351,"2,01",-,-
4,Komunistická str.Čech a Moravy,34,Vragová Dagmar,66,KSČM,BEZPP,1 453,"2,12",32,-
14,Občanská demokratická strana,15,Vrána Miroslav Ing.,55,ODS,ODS,3 151,"2,23",10,-
13,spOLečně,30,Vraštil ml. Miroslav,35,spOL,spOL,1 627,"2,12",27,-
10,"SPR-REP.STR.ČECH,MORAVY,SLEZ.",25,Vychodil Alois,73,SPR-RSČMS,BEZPP,57,"2,48",-,-
16,Česká str.sociálně demokrat.,13,Vymětal Jiří Mgr.,35,ČSSD,ČSSD,1 527,"2,36",13,-
16,Česká str.sociálně demokrat.,31,Vyskočil Jakub Mgr.,30,ČSSD,ČSSD,1 377,"2,12",29,-
