obvod,číslo,název,poř. číslo,"příjmení, jméno, tituly",věk,navrh. strana,polit. přísl.,abs.,v %,pořadí,mandát
1,10,Republikáni Miroslava Sládka,2,Skovajsová Hana,52,RMS,BEZPP,12,"16,43",-,-
3,3,Občanská demokratická strana,4,Skřivánek Aleš MUDr.,41,ODS,ODS,1 697,"11,56",4,*
2,6,Občanská demokratická strana,9,Sláma Petr,32,ODS,ODS,1 955,"9,88",5,-
4,5,Republikáni Miroslava Sládka,1,Sláma Roman,43,RMS,RMS,35,"36,08",-,-
2,2,"Koalice SOS, SNK ED, Z",6,Sojková Irena Mgr.,42,"""Z""",BEZPP,226,"11,94",-,-
3,8,"Koalice SOS, SNK ED, Z",1,"Sovová Eliška Doc. MUDr. Ph.D.,M.B.A.,",45,"""Z""",BEZPP,501,"21,87",-,-
2,4,Strana zelených,4,Spurný Richard Mgr.,42,SZ,BEZPP,407,"12,50",-,-
4,6,"Koalice SOS, SNK ED, Z",9,Srovnal Pavel Ing.,28,SNK ED,BEZPP,149,"6,76",-,-
4,3,Česká str.sociálně demokrat.,8,Staněk Antonín Mgr.,40,ČSSD,ČSSD,1 182,"10,82",5,-
5,7,Česká str.sociálně demokrat.,9,Stavěl Jan,60,ČSSD,ČSSD,1 027,"9,34",7,-
1,2,Křesť.demokr.unie-Čs.str.lid.,2,Stejskal Ladislav,35,KDU-ČSL,KDU-ČSL,505,"11,05",1,-
2,7,Křesť.demokr.unie-Čs.str.lid.,8,Stranyánek Jiří RNDr.,64,KDU-ČSL,KDU-ČSL,374,"10,04",-,-
4,10,Strana zelených,2,Středa Milan,42,SZ,BEZPP,415,"13,55",-,-
4,10,Strana zelených,6,Středová Karla,43,SZ,BEZPP,325,"10,61",-,-
3,5,Strana zelených,8,Stříž Jiří,67,SZ,SZ,205,"7,69",-,-
5,7,Česká str.sociálně demokrat.,5,Studený Lukáš Bc.,29,ČSSD,ČSSD,1 208,"10,99",3,-
4,8,NEZ.DEMOKRATÉ(předs.V.Železný),4,Svobodová Svatava Mgr.,46,NEZ/DEM,BEZPP,47,"11,69",-,-
1,6,"Koalice SOS, SNK ED, Z",3,Svozil Miloslav,66,SOS,SOS,321,"11,46",-,-
3,5,Strana zelených,4,Svozil Zdeněk Ing.,46,SZ,BEZPP,307,"11,51",-,-
4,6,"Koalice SOS, SNK ED, Z",7,Swaczynová Jana Mgr. Ph.D.,28,SNK ED,BEZPP,212,"9,61",-,-
5,6,Komunistická str.Čech a Moravy,5,Šachrová Marie,58,KSČM,BEZPP,598,"11,20",4,-
4,6,"Koalice SOS, SNK ED, Z",1,"Šarapatka Bořivoj Prof. Dr. Ing. CSc.,",47,SOS,BEZPP,449,"20,37",-,-
5,7,Česká str.sociálně demokrat.,1,Ščudlík Svatopluk Mgr.,54,ČSSD,ČSSD,1 350,"12,28",1,*
4,10,Strana zelených,9,Ševčík Martin Ing.,27,SZ,BEZPP,262,"8,55",-,-
1,10,Republikáni Miroslava Sládka,6,Ševčíková Jana,48,RMS,BEZPP,11,"15,06",-,-
3,3,Občanská demokratická strana,5,Šifta René,35,ODS,ODS,1 582,"10,78",1,-
1,5,Strana zelených,8,Šimáčková Eva Ing.arch.,60,SZ,BEZPP,412,"11,84",-,-
4,7,Křesť.demokr.unie-Čs.str.lid.,9,Šimek Václav,34,KDU-ČSL,KDU-ČSL,545,"11,53",8,-
4,7,Křesť.demokr.unie-Čs.str.lid.,1,Šimša Karel Ing.,38,KDU-ČSL,KDU-ČSL,561,"11,87",3,-
2,6,Občanská demokratická strana,7,Šincl Antonín,69,ODS,ODS,2 133,"10,78",3,-
