obvod,číslo,název,poř. číslo,"příjmení, jméno",tituly,věk,navrh. strana,polit. přísl.,abs.,v %,pořadí,mandát
1,10,Křesť.demokr.unie-Čs.str.lid.,9,Loučka Martin,Mgr. ,29,KDU-ČSL,BEZPP,421,9.06,8, 
4,7,NEZÁVISLÍ,8,Loužecký Miroslav, ,43,NEZ,BEZPP,169,7.74, , 
5,8,Strana zelených a Šance pro Ol,5,Loydl Ronald, ,29,SZ,SZ,281,9.57, , 
1,4,Naděje a Hnutí obč. sebeobr.,8,Ludková Jarmila, ,56,NK,BEZPP,220,8.64, , 
4,5,Strana zelených a Šance pro Ol,3,Lukaševič Pavel, ,28,NK,BEZPP,436,10.57,3, 
2,3,NEZÁVISLÍ,1,Mačáková Jana,prof.MUDr.PhDr. CSc.,59,NEZ,BEZPP,941,30.59, , 
3,3,Komunistická str.Čech a Moravy,8,Mádr Ladislav, ,50,KSČM,BEZPP,633,10.42,6, 
5,6,Komunistická str.Čech a Moravy,5,Mádr Marek,Mgr. ,30,KSČM,BEZPP,693,10.94,3, 
3,1,Občanská demokratická strana,6,Machalíčková Daniela, ,30,ODS,ODS,926,11.22,4, 
4,5,Strana zelených a Šance pro Ol,5,Machar Ivo,Ing. Ph.D.,34,NK,BEZPP,514,12.47,2, 
5,1,OLOMOUC 21-SOS a nez.ob.inic.,2,Machová Eva,Mgr. ,45,NK,BEZPP,387,12.91,2, 
4,1,Občanská demokratická strana,2,Major Martin, ,23,ODS,ODS,1 129,11.50,2,*
1,5,Strana zelených a Šance pro Ol,9,Malá Eva, ,39,SZ,SZ,336,7.92,8, 
3,10,"BLOK PRO OBČ.-koalice RMS,SŽJ",3,Malečková Marta, ,55,SŽJ,BEZPP,15,16.85, , 
3,5,Unie svobody-Demokratická unie,4,Mankovecká Josefa, ,64,US-DEU,US-DEU,137,8.08, , 
2,11,Unie svobody-Demokratická unie,6,Mankovecký Petr,Ing. ,37,US-DEU,US-DEU,194,11.74, , 
3,3,Komunistická str.Čech a Moravy,3,Marčan Vladimír, ,46,KSČM,BEZPP,677,11.15,1, 
1,1,Komunistická str.Čech a Moravy,1,Marek Miroslav,Ing. ,49,KSČM,KSČM,745,12.35,1,*
3,2,NEZÁVISLÍ,2,Mareš Ivo,MUDr. ,38,NEZ,BEZPP,510,15.77,1, 
2,9,Str.venkova-spoj.občan.síly,1,Marková Zuzana,PhDr. ,40,SV SOS,BEZPP,94,100.00, , 
5,1,OLOMOUC 21-SOS a nez.ob.inic.,1,Maršálová Dagmar, ,54,SOS,SOS,394,13.14,1, 
2,5,Občanská demokratická strana,1,Martinák Jiří, ,31,ODS,ODS,1 268,12.60,1,*
2,10,Komunistická str.Čech a Moravy,4,Martinů Ludmila, ,52,KSČM,KSČM,809,11.23,2, 
2,11,Unie svobody-Demokratická unie,2,Matuška Dan,RNDr. ,53,US-DEU,BEZPP,230,13.92, , 
1,8,Česká str.sociálně demokrat.,6,Mayerová Ludmila,Ing. ,60,ČSSD,ČSSD,920,10.57,4, 
1,11,Unie svobody-Demokratická unie,8,Medek Ladislav, ,26,US-DEU,US-DEU,210,7.33, , 
2,11,Unie svobody-Demokratická unie,4,Medek Ladislav, ,52,US-DEU,US-DEU,172,10.41, , 
3,7,Naděje a Hnutí obč. sebeobr.,6,Mifková Eva, ,61,NK,BEZPP,72,7.56, , 
2,10,Komunistická str.Čech a Moravy,2,Michálek Petr,Mgr. ,60,KSČM,KSČM,824,11.44,2,*
4,1,Občanská demokratická strana,4,Míková Petra, ,33,ODS,ODS,1 118,11.38,1, 
3,4,Křesť.demokr.unie-Čs.str.lid.,9,Mikulík Jan, ,44,KDU-ČSL,BEZPP,285,8.55,8, 
2,4,Česká str.sociálně demokrat.,7,Minařík František,Ing. ,56,ČSSD,ČSSD,1 542,10.30,3, 
2,7,OLOMOUC 21-SOS a nez.ob.inic.,8,Mohlerová Marie,Ing. ,48,SOS,BEZPP,142,7.70, , 
1,5,Strana zelených a Šance pro Ol,7,Molnárová Helena, ,38,NK,BEZPP,353,8.32,6, 
2,5,Občanská demokratická strana,6,Motalová Jana,Bc. ,27,ODS,ODS,1 102,10.95,4, 
1,2,Občanská demokratická strana,3,Mrázek Ivan,PhDr. ,68,ODS,ODS,1 334,11.37,1, 
5,1,OLOMOUC 21-SOS a nez.ob.inic.,4,Müller Martin,Ing.Mgr. ,38,NK,BEZPP,354,11.81,3, 
5,5,Unie svobody-Demokratická unie,4,Myšák Jan,Ing. ,44,US-DEU,US-DEU,208,11.83, , 
5,10,Občanská demokratická strana,6,Navara Richard, ,41,ODS,ODS,1 074,10.75,3, 
4,11,OLOMOUC 21-SOS a nez.ob.inic.,5,Navrátil Marek, ,31,NK,BEZPP,242,11.96, , 
