obvod,číslo,název,poř. číslo,"příjmení, jméno",tituly,věk,navrh. strana,polit. přísl.,abs.,v %,pořadí,mandát
3,9,Česká str.sociálně demokrat.,4,Švejda Josef,Ing. ,60,ČSSD,ČSSD,946,10.90,2, 
4,3,Česká str.sociálně demokrat.,9,Teplíček Jiří, ,39,ČSSD,ČSSD,804,9.04,7, 
4,10,Komunistická str.Čech a Moravy,1,Tesařík Jiří,Mgr. ,54,KSČM,KSČM,776,12.22,1,*
2,4,Česká str.sociálně demokrat.,1,Tesařík Martin,Ing. ,48,ČSSD,ČSSD,2 251,15.03,1,*
4,3,Česká str.sociálně demokrat.,6,Tesařová Hana, ,43,ČSSD,ČSSD,964,10.84,4, 
2,1,Strana zelených a Šance pro Ol,9,Tichák Tomáš,Ing. ,45,NK,BEZPP,430,8.96,8, 
5,6,Komunistická str.Čech a Moravy,3,Tichý Petr, ,58,KSČM,KSČM,705,11.13,1, 
2,4,Česká str.sociálně demokrat.,6,Titz Přemysl,JUDr. ,63,ČSSD,ČSSD,1 559,10.41,2, 
2,6,Naděje a Hnutí obč. sebeobr.,8,Tománek Pavel, ,49,NK,BEZPP,71,5.97, , 
4,8,Křesť.demokr.unie-Čs.str.lid.,6,Tomášek Silvestr, ,66,KDU-ČSL,BEZPP,859,14.40,2, 
1,7,"BLOK PRO OBČ.-koalice RMS,SŽJ",2,Tomášková Jana, ,58,SŽJ,BEZPP,22,17.46, , 
3,5,Unie svobody-Demokratická unie,6,Tomíková Vladimíra, ,33,US-DEU,BEZPP,157,9.26, , 
5,10,Občanská demokratická strana,3,Tozzi Igor,MUDr. ,39,ODS,ODS,1 216,12.17,3,*
3,5,Unie svobody-Demokratická unie,8,Trčková Eva,PhDr. ,43,US-DEU,BEZPP,138,8.14, , 
2,8,"BLOK PRO OBČ.-koalice RMS,SŽJ",4,Ulmannová Naděžda, ,28,SŽJ,BEZPP,31,21.37, , 
3,8,OLOMOUC 21-SOS a nez.ob.inic.,8,Vaculík Marek, ,29,SOS,BEZPP,174,7.79, , 
1,3,OLOMOUC 21-SOS a nez.ob.inic.,9,Vaculíková Monika,Mgr. ,26,SOS,BEZPP,233,9.08, , 
4,2,Naděje a Hnutí obč. sebeobr.,8,Vágnerová Marie, ,65,NK,BEZPP,113,8.27, , 
4,7,NEZÁVISLÍ,5,Valentová Věra,RNDr. ,40,NEZ,BEZPP,217,9.94, , 
3,7,Naděje a Hnutí obč. sebeobr.,9,Válka Ivo, ,74,NK,BEZPP,59,6.19, , 
1,4,Naděje a Hnutí obč. sebeobr.,7,Vaňková Milada,Mgr. ,58,N,BEZPP,227,8.91, , 
2,5,Občanská demokratická strana,5,Vařeková Eva, ,54,ODS,ODS,1 143,11.36,3, 
4,10,Komunistická str.Čech a Moravy,2,Večeřa Alois, ,57,KSČM,KSČM,738,11.62,2,*
3,1,Občanská demokratická strana,9,Venc Václav,Ing. ,59,ODS,ODS,766,9.28,7, 
2,4,Česká str.sociálně demokrat.,9,Vencl Květoslav, ,54,ČSSD,ČSSD,1 347,8.99,5, 
3,8,OLOMOUC 21-SOS a nez.ob.inic.,6,Venkrbec Miroslav, ,41,NK,BEZPP,264,11.82, , 
1,8,Česká str.sociálně demokrat.,7,Verner Bohumír, ,75,ČSSD,ČSSD,862,9.90,5, 
4,11,OLOMOUC 21-SOS a nez.ob.inic.,1,Veselá Helena, ,45,NK,BEZPP,267,13.20, , 
3,2,NEZÁVISLÍ,7,Veselý Ladislav, ,42,NEZ,BEZPP,282,8.72,6, 
5,4,Česká str.sociálně demokrat.,7,Veverka Radko, ,55,ČSSD,ČSSD,892,10.34,5, 
4,10,Komunistická str.Čech a Moravy,9,Viktora František, ,76,KSČM,KSČM,640,10.08,7, 
4,1,Občanská demokratická strana,1,Vláčilová Marta,Mgr. ,56,ODS,ODS,1 314,13.38,1,*
3,9,Česká str.sociálně demokrat.,6,Vlach Ivo, ,69,ČSSD,ČSSD,877,10.11,4, 
2,3,NEZÁVISLÍ,7,Vlach Vladimír, ,70,NEZ,BEZPP,214,6.95, , 
2,3,NEZÁVISLÍ,9,Vlčková Jiřina, ,46,NEZ,BEZPP,192,6.24, , 
3,8,OLOMOUC 21-SOS a nez.ob.inic.,2,Vočka Zbyněk, ,27,NK,BEZPP,252,11.28, , 
5,8,Strana zelených a Šance pro Ol,7,Vojík Miroslav, ,44,NK,BEZPP,232,7.90, , 
1,5,Strana zelených a Šance pro Ol,4,Vojíková Jana,JUDr. ,41,NK,BEZPP,449,10.58,3, 
1,8,Česká str.sociálně demokrat.,1,Vomáčka Jaroslav,MUDr. Ph.D.,46,ČSSD,ČSSD,1 211,13.91,1,*
3,8,OLOMOUC 21-SOS a nez.ob.inic.,4,Vrbová Pavlína,Mgr. ,35,SOS,BEZPP,214,9.58, , 
1,2,Občanská demokratická strana,2,Vrbová Regína,Ing. ,34,ODS,ODS,1 376,11.73,3,*
3,5,Unie svobody-Demokratická unie,7,Vrzala František,Ing. ,54,US-DEU,US-DEU,151,8.90, , 
4,6,"BLOK PRO OBČ.-koalice RMS,SŽJ",4,Výboch Miroslav, ,54,RMS,RMS,32,21.05, , 
2,7,OLOMOUC 21-SOS a nez.ob.inic.,1,Vykoukal Matouš, ,59,SOS,BEZPP,303,16.43, , 
1,11,Unie svobody-Demokratická unie,5,Vysoudil Martin, ,20,US-DEU,US-DEU,255,8.90, , 
4,10,Komunistická str.Čech a Moravy,3,Weinertová Ivanka, ,61,KSČM,KSČM,714,11.25,1, 
1,3,OLOMOUC 21-SOS a nez.ob.inic.,5,Zahradníková Zuzana, ,30,NK,BEZPP,295,11.49, , 
1,3,OLOMOUC 21-SOS a nez.ob.inic.,6,Zaoralová Růžena,Mgr. ,44,SOS,BEZPP,252,9.82, , 
1,4,Naděje a Hnutí obč. sebeobr.,2,Zavadil Josef, ,58,NK,BEZPP,273,10.72, , 
3,3,Komunistická str.Čech a Moravy,6,Zein Eddineová Hana, ,48,KSČM,KSČM,660,10.87,4, 
5,2,Naděje a Hnutí obč. sebeobr.,8,Zeman Ondřej, ,30,NK,BEZPP,164,10.38, , 
4,7,NEZÁVISLÍ,7,Zendulková Marcela, ,25,NEZ,BEZPP,173,7.92, , 
2,6,Naděje a Hnutí obč. sebeobr.,3,Zicháček Vladimír,RNDr. ,59,NK,BEZPP,301,25.33, , 
1,4,Naděje a Hnutí obč. sebeobr.,5,Zouhar Jaromír,MUDr. ,53,NK,BEZPP,312,12.25, , 
1,3,OLOMOUC 21-SOS a nez.ob.inic.,4,Žák Petr, ,44,SOS,SOS,244,9.50, , 
4,11,OLOMOUC 21-SOS a nez.ob.inic.,7,Žaláková Ludmila,Ing. ,33,SOS,BEZPP,194,9.59, , 
3,7,Naděje a Hnutí obč. sebeobr.,2,Žůrková Dagmar,Mgr. ,53,NK,BEZPP,114,11.97, , 
