obvod,číslo,název,poř. číslo,"příjmení, jméno, tituly",věk,navrh. strana,polit. přísl.,abs.,v %,pořadí,mandát


3,1,Občanská demokratická strana,7,Adamíková Alena PhDr.,53,ODS,ODS,1 221,"10,93",4,-
5,9,Suverenita-blok J.Bobošíkové,8,Albrechtová Irena,49,Suveren.,BEZPP,130,"9,67",-,-
1,7,"Republ.str.Čech,Moravy a Slez.",5,Alka Ladislav,54,RSČMS,BEZPP,11,"9,82",-,-
3,3,Koruna Česká (monarch.strana),6,Anderle Jiří,46,KČ,BEZPP,45,"10,46",-,-
4,12,Koruna Česká (monarch.strana),7,Anderlová Lucie,24,KČ,BEZPP,27,"12,00",-,-
2,12,Koruna Česká (monarch.strana),1,Andrš Pavel MUDr.,46,KČ,KČ,99,"26,32",-,-
3,4,Strana zelených,7,Antonová Helena,34,SZ,BEZPP,132,"9,14",-,-
3,7,Strana Práv Občanů ZEMANOVCI,1,Augustin Radek Mgr.,33,SPOZ,SPOZ,245,"18,17",-,-
1,5,Strana Práv Občanů ZEMANOVCI,6,Augustinová Miluše,59,SPOZ,SPOZ,72,"9,14",-,-
1,10,Občanská demokratická strana,9,Bačík Petr Ing. Ph.D.,35,ODS,ODS,1 327,"9,95",6,-
1,1,Křesť.demokr.unie-Čs.str.lid.,7,Baletka Jan,30,KDU-ČSL,BEZPP,411,"9,92",6,-
1,10,Občanská demokratická strana,6,Banková Jaromíra MUDr.,59,ODS,ODS,1 448,"10,86",3,-
5,12,TOP 09,4,"Bardoň Jan MVDr. Ph.D., MBA",45,TOP 09,BEZPP,1 031,"11,88",2,-
1,12,TOP 09,7,Bartoněk Oldřich,59,TOP 09,TOP 09,713,"9,57",6,-
2,3,Strana Práv Občanů ZEMANOVCI,8,Bartošová Erika,70,SPOZ,BEZPP,80,"6,86",-,-
4,9,Česká str.sociálně demokrat.,2,Baslerová Eva PhDr.,61,ČSSD,ČSSD,1 504,"11,49",2,*
5,8,Česká str.sociálně demokrat.,9,Bednář Jan Ing.,55,ČSSD,ČSSD,1 400,"9,93",6,-
1,8,Strana zelených,7,Bednářová Marie,52,SZ,BEZPP,158,"8,32",-,-
2,5,Občanská demokratická strana,8,Bednářová Romana Dagmar,38,ODS,ODS,1 391,"10,23",5,-
4,4,Křesť.demokr.unie-Čs.str.lid.,5,Beil Zdeněk Ing.,57,KDU-ČSL,KDU-ČSL,394,"9,56",4,-
3,4,Strana zelených,5,Belšík Ondřej Mgr.,34,SZ,BEZPP,178,"12,33",-,-
1,12,TOP 09,9,Benedikt Jaromír Ing.,41,TOP 09,TOP 09,635,"8,52",8,-
3,9,Komunistická str.Čech a Moravy,3,Benický Michal Bc.,23,KSČM,BEZPP,626,"11,17",2,-
2,3,Strana Práv Občanů ZEMANOVCI,3,Bieberle Josef Doc.PhDr. CSc.,81,SPOZ,SPOZ,127,"10,90",-,-
1,12,TOP 09,6,Bláha Rudolf RNDr.,71,TOP 09,TOP 09,763,"10,24",5,-
5,12,TOP 09,9,Blaťák Zdeněk Ing.,35,TOP 09,TOP 09,801,"9,23",7,-
