obvod,číslo,název,poř. číslo,"příjmení, jméno, tituly",věk,navrh. strana,polit. přísl.,abs.,v %,pořadí,mandát
4,7,Komunistická str.Čech a Moravy,3,Blaťáková Jarmila PaedDr.,61,KSČM,KSČM,574,"11,83",2,-
5,7,Strana zelených,3,Blažek Vlastimil Ing.,58,SZ,BEZPP,369,"12,34",-,-
4,11,TOP 09,6,Bohanes Tomáš MUDr. Ph.D.,38,TOP 09,TOP 09,886,"11,64",5,-
3,2,Česká str.sociálně demokrat.,6,Boková Danuše,70,ČSSD,ČSSD,1 600,"10,74",2,-
1,1,Křesť.demokr.unie-Čs.str.lid.,6,Borik Jiří Mgr.,45,KDU-ČSL,BEZPP,446,"10,77",5,-
2,10,Suverenita-blok J.Bobošíkové,7,Bořuta Rostislav Ing.,28,Suveren.,SDŽ,182,"10,63",-,-
3,6,Suverenita-blok J.Bobošíkové,6,Bouchalová Eliška,53,Suveren.,BEZPP,154,"9,60",-,-
1,1,Křesť.demokr.unie-Čs.str.lid.,3,Brabcová Jitka Ing. Ph.D.,49,KDU-ČSL,KDU-ČSL,507,"12,24",2,-
3,12,TOP 09,9,Brada Jiří Bc.,37,TOP 09,BEZPP,538,"9,27",8,-
5,13,Komunistická str.Čech a Moravy,4,Bránka Karel,58,KSČM,KSČM,547,"11,21",3,-
3,1,Občanská demokratická strana,5,Brnčal Roman JUDr. LL.M.,36,ODS,ODS,1 254,"11,23",2,-
2,5,Občanská demokratická strana,7,Brom Miloš,79,ODS,ODS,1 383,"10,17",4,-
1,8,Strana zelených,6,Brtník Pavel Ing.,41,SZ,BEZPP,196,"10,32",-,-
3,4,Strana zelených,2,Brumar Michal Mgr.,25,SZ,BEZPP,163,"11,29",-,-
3,2,Česká str.sociálně demokrat.,8,Břečková Jarmila Mgr.,58,ČSSD,ČSSD,1 611,"10,81",4,-
4,6,Strana Práv Občanů ZEMANOVCI,2,Břenková Věra,58,SPOZ,BEZPP,93,"13,41",-,-
5,9,Suverenita-blok J.Bobošíkové,3,Březinová Jana,49,Suveren.,BEZPP,142,"10,56",-,-
5,9,Suverenita-blok J.Bobošíkové,7,Buček Karel,42,Suveren.,BEZPP,170,"12,64",-,-
2,8,Strana zelených,2,Buk Vladimír Ing.,75,SZ,SZ,178,"11,04",-,-
4,5,Strana zelených,8,Burda Jaroslav,30,SZ,BEZPP,116,"8,88",-,-
4,11,TOP 09,2,Carić Nikola,28,TOP 09,TOP 09,809,"10,63",1,-
4,4,Křesť.demokr.unie-Čs.str.lid.,4,Cetkovský Jan Ing.,75,KDU-ČSL,KDU-ČSL,401,"9,73",3,-
4,3,Moravané,1,Coufal Miroslav,39,M,BEZPP,37,"39,78",-,-
3,10,Moravané,1,Coufalová Dagmar,40,M,BEZPP,54,"35,29",-,-
5,10,"Republ.str.Čech,Moravy a Slez.",3,Crha Martin,38,RSČMS,RSČMS,33,"9,85",-,-
3,2,Česká str.sociálně demokrat.,1,Czmero Jaromír Ing.,58,ČSSD,ČSSD,1 751,"11,75",1,*
4,9,Česká str.sociálně demokrat.,5,Czmero Rostislav,61,ČSSD,ČSSD,1 459,"11,14",2,-
1,4,Česká str.sociálně demokrat.,5,Čapka Radek Mgr.,44,ČSSD,ČSSD,1 452,"11,59",2,-
5,6,Křesť.demokr.unie-Čs.str.lid.,7,Čedroň Jiří Ing.,44,KDU-ČSL,BEZPP,410,"9,89",6,-
1,1,Křesť.demokr.unie-Čs.str.lid.,8,Čepělová Ivana Bc.,30,KDU-ČSL,KDU-ČSL,389,"9,39",7,-
2,7,Věci veřejné,4,Čermák Oldřich,39,VV,BEZPP,304,"10,52",-,-
5,13,Komunistická str.Čech a Moravy,2,Černáš Pavel,27,KSČM,KSČM,559,"11,45",1,-
1,10,Občanská demokratická strana,8,Černohouz Zdeněk,24,ODS,ODS,1 341,"10,06",5,-
2,4,Komunistická str.Čech a Moravy,1,Černý Alexander RSDr.,57,KSČM,KSČM,809,"12,48",1,*
5,9,Suverenita-blok J.Bobošíkové,6,Černý Pavel Ing.,39,Suveren.,BEZPP,164,"12,20",-,-
2,12,Koruna Česká (monarch.strana),4,Čtvrtlíková Olga,35,KČ,BEZPP,43,"11,43",-,-
4,12,Koruna Česká (monarch.strana),1,Danis Ladislav,44,KČ,BEZPP,34,"15,11",-,-
1,10,Občanská demokratická strana,5,Darek Roman Mgr.,44,ODS,ODS,1 428,"10,71",2,-
3,1,Občanská demokratická strana,9,Dimmroth Gerd Mgr.,39,ODS,ODS,1 136,"10,17",6,-
5,10,"Republ.str.Čech,Moravy a Slez.",4,Divina Jan,25,RSČMS,BEZPP,35,"10,44",-,-
3,4,Strana zelených,4,Dleštíková Hana JUDr.,60,SZ,BEZPP,152,"10,53",-,-
3,7,Strana Práv Občanů ZEMANOVCI,3,Dobeš Jan Ing.arch.,53,SPOZ,SPOZ,175,"12,98",-,-
2,2,"Republ.str.Čech,Moravy a Slez.",2,Dobeš Petr Ing.,40,RSČMS,BEZPP,42,"20,19",-,-
1,7,"Republ.str.Čech,Moravy a Slez.",4,Dočkal Petr,54,RSČMS,RSČMS,13,"11,60",-,-
2,7,Věci veřejné,8,Dočkalová Romana,27,VV,BEZPP,258,"8,93",-,-
1,11,Komunistická str.Čech a Moravy,3,Dokoupil Martin Ing.,34,KSČM,KSČM,521,"11,97",2,-
3,8,Křesť.demokr.unie-Čs.str.lid.,7,Dolénková Helena,56,KDU-ČSL,BEZPP,313,"9,75",-,-
3,5,"Republ.str.Čech,Moravy a Slez.",5,Dostál Bohumil,64,RSČMS,BEZPP,11,"7,00",-,-
1,1,Křesť.demokr.unie-Čs.str.lid.,1,Dostál Jan Ing.,49,KDU-ČSL,KDU-ČSL,529,"12,77",1,*
2,3,Strana Práv Občanů ZEMANOVCI,9,Dostál Václav Ing.,82,SPOZ,BEZPP,72,"6,18",-,-
5,7,Strana zelených,9,Doubravský Zdeněk,54,SZ,BEZPP,241,"8,06",-,-
3,6,Suverenita-blok J.Bobošíkové,8,Duda Jaromír,40,Suveren.,BEZPP,165,"10,29",-,-
1,7,"Republ.str.Čech,Moravy a Slez.",1,Dufek Jiří,58,RSČMS,RSČMS,15,"13,39",-,-
5,8,Česká str.sociálně demokrat.,7,Dvorský Roman Mgr.,44,ČSSD,ČSSD,1 511,"10,71",4,-
5,9,Suverenita-blok J.Bobošíkové,2,Dvořáková Alena MUDr.,57,Suveren.,BEZPP,181,"13,46",-,-
2,6,Křesť.demokr.unie-Čs.str.lid.,2,Dvořáková Markéta,30,KDU-ČSL,KDU-ČSL,412,"10,78",-,-
5,9,Suverenita-blok J.Bobošíkové,1,Ferenc Bohumil,43,Suveren.,SDŽ,172,"12,79",-,-
2,8,Strana zelených,3,Fiala Břetislav Mgr.,30,SZ,BEZPP,229,"14,21",-,-
5,11,Věci veřejné,5,Fiala Marek Ing.,26,VV,BEZPP,253,"10,94",-,-
3,2,Česká str.sociálně demokrat.,3,Fischer Michael MUDr.,54,ČSSD,ČSSD,1 752,"11,76",3,*
2,6,Křesť.demokr.unie-Čs.str.lid.,9,Fišer Jiří RNDr. Ph.D.,41,KDU-ČSL,BEZPP,377,"9,86",-,-
3,7,Strana Práv Občanů ZEMANOVCI,9,Fišer Milan,59,SPOZ,BEZPP,117,"8,67",-,-
5,8,Česká str.sociálně demokrat.,5,Fišerová Ivona,26,ČSSD,ČSSD,1 550,"10,99",2,-
3,1,Občanská demokratická strana,8,Fišerová Jitka,32,ODS,ODS,1 150,"10,29",5,-
5,11,Věci veřejné,4,Fojtů Hana MUDr.,52,VV,BEZPP,317,"13,71",-,-
5,11,Věci veřejné,1,Foretník Pavel RNDr.,60,VV,BEZPP,334,"14,45",-,-
2,10,Suverenita-blok J.Bobošíkové,5,Foukalová Vladimíra Mgr.,39,Suveren.,BEZPP,231,"13,49",-,-
2,3,Strana Práv Občanů ZEMANOVCI,7,Frgalová Eva Ing.,66,SPOZ,BEZPP,102,"8,75",-,-
5,5,Občanská demokratická strana,7,Fritscherová Jarmila PhDr.,55,ODS,ODS,1 295,"10,51",5,-
2,3,Strana Práv Občanů ZEMANOVCI,1,Fuka Petr Mgr.,33,SPOZ,SPOZ,247,"21,20",-,-
4,9,Česká str.sociálně demokrat.,6,Fürst Dušan Ing.,61,ČSSD,ČSSD,1 414,"10,80",3,-
3,11,Věci veřejné,1,Gabryš Martin MUDr.,39,VV,VV,461,"15,32",-,-
4,9,Česká str.sociálně demokrat.,3,Gajdůšek Miroslav Mgr. MBA,41,ČSSD,ČSSD,1 511,"11,54",3,*
1,2,Suverenita-blok J.Bobošíkové,5,Galčenko Andrej,20,Suveren.,BEZPP,112,"10,22",-,-
3,4,Strana zelených,9,Galík Petr,25,SZ,SZ,154,"10,67",-,-
5,4,Moravané,3,Gavorová Petra,40,M,BEZPP,32,"28,82",-,-
2,6,Křesť.demokr.unie-Čs.str.lid.,3,Giacintov Michal Ing. arch.,47,KDU-ČSL,BEZPP,498,"13,03",-,-
4,8,Občanská demokratická strana,2,Gottwald Jan,53,ODS,ODS,1 399,"11,72",2,*
1,12,TOP 09,8,Grass Miroslav Mgr.,34,TOP 09,BEZPP,756,"10,15",7,-
3,9,Komunistická str.Čech a Moravy,7,Gregorovič Miloš,52,KSČM,KSČM,597,"10,65",6,-
2,8,Strana zelených,8,Gremlicová Bohumila MUDr.,76,SZ,BEZPP,146,"9,06",-,-
2,4,Komunistická str.Čech a Moravy,7,Grossová Jitka PhDr.,67,KSČM,KSČM,685,"10,57",6,-
5,12,TOP 09,5,Gryga Adolf MUDr. CSc.,60,TOP 09,BEZPP,1 054,"12,14",3,-
5,7,Strana zelených,4,Grygová Bronislava PhDr. Ph.D.,51,SZ,BEZPP,367,"12,28",-,-
5,2,Strana Práv Občanů ZEMANOVCI,8,Hamáčková Eva,43,SPOZ,SPOZ,65,"7,60",-,-
5,6,Křesť.demokr.unie-Čs.str.lid.,2,Hanáková Jana Mgr.,30,KDU-ČSL,KDU-ČSL,528,"12,73",1,-
2,5,Občanská demokratická strana,1,Hanáková Marcela PhDr.,51,ODS,ODS,1 628,"11,98",1,*
3,1,Občanská demokratická strana,4,Hándl Jan Mgr.,61,ODS,ODS,1 276,"11,42",1,-
2,8,Strana zelených,6,Hándl Jiří Mgr.,36,SZ,BEZPP,156,"9,68",-,-
5,13,Komunistická str.Čech a Moravy,9,Hanusová Jana,69,KSČM,KSČM,467,"9,57",8,-
1,4,Česká str.sociálně demokrat.,6,Harašta Kamil,47,ČSSD,ČSSD,1 372,"10,95",3,-
2,7,Věci veřejné,2,Haviger Radek Bc.,35,VV,VV,354,"12,25",-,-
5,11,Věci veřejné,9,Havigerová Jana Mgr.,28,VV,BEZPP,228,"9,86",-,-
5,5,Občanská demokratická strana,3,Hejtmánek Pavel MUDr.,40,ODS,ODS,1 456,"11,82",1,-
5,2,Strana Práv Občanů ZEMANOVCI,5,Hess Dušan,47,SPOZ,BEZPP,100,"11,69",-,-
1,3,Věci veřejné,2,Hladeček Martin Ing.,39,VV,VV,229,"12,35",-,-
4,1,Suverenita-blok J.Bobošíkové,1,Hlaváčová Květoslava MUDr.,50,Suveren.,BEZPP,375,"18,92",-,-
3,5,"Republ.str.Čech,Moravy a Slez.",4,Hlivková Pavlína,42,RSČMS,BEZPP,13,"8,28",-,-
2,8,Strana zelených,5,Hofírek Pavel Mgr.,28,SZ,BEZPP,191,"11,85",-,-
4,10,"Republ.str.Čech,Moravy a Slez.",6,Holoubek Robert,52,RSČMS,BEZPP,15,"7,81",-,-
5,10,"Republ.str.Čech,Moravy a Slez.",6,Holoubková Iveta,41,RSČMS,BEZPP,33,"9,85",-,-
5,5,Občanská demokratická strana,1,Holpuch Jan RNDr. Ph.D.,38,ODS,ODS,1 499,"12,17",1,*
3,3,Koruna Česká (monarch.strana),1,Holzer Miloš RNDr.,59,KČ,BEZPP,129,"30,00",-,-
4,11,TOP 09,8,Horáček Evžen Ing.,51,TOP 09,BEZPP,765,"10,05",7,-
4,5,Strana zelených,9,Horylová Petra,21,SZ,BEZPP,109,"8,35",-,-
4,2,Věci veřejné,1,Hrdlička Petr Mgr.,37,VV,VV,328,"13,80",-,-
1,3,Věci veřejné,9,Hrdličková Marie,63,VV,BEZPP,152,"8,20",-,-
4,6,Strana Práv Občanů ZEMANOVCI,6,Hroščaník Tomáš,34,SPOZ,BEZPP,80,"11,54",-,-
5,7,Strana zelených,1,Hrstková Edita Ing.,46,SZ,SZ,411,"13,75",-,-
1,2,Suverenita-blok J.Bobošíkové,4,Hrubanová Markéta,23,Suveren.,BEZPP,127,"11,59",-,-
5,7,Strana zelených,8,Hruda Ján Ing.,83,SZ,BEZPP,257,"8,60",-,-
3,2,Česká str.sociálně demokrat.,2,Hušek Václav Mgr.,66,ČSSD,ČSSD,1 668,"11,20",2,*
1,7,"Republ.str.Čech,Moravy a Slez.",6,Hynek František,57,RSČMS,RSČMS,9,"8,03",-,-
4,2,Věci veřejné,9,Hynšt Petr,64,VV,BEZPP,188,"7,91",-,-
3,11,Věci veřejné,7,Hýsková Jitka,36,VV,BEZPP,325,"10,80",-,-
1,9,Koruna Česká (monarch.strana),5,Chladnuch Jan,67,KČ,BEZPP,30,"16,21",-,-
3,7,Strana Práv Občanů ZEMANOVCI,5,Chromec Jan,25,SPOZ,BEZPP,130,"9,64",-,-
1,7,"Republ.str.Čech,Moravy a Slez.",2,Ilgner Vladimír Ing.,69,RSČMS,BEZPP,13,"11,60",-,-
4,8,Občanská demokratická strana,5,Indrák Zdeněk Ing.,55,ODS,ODS,1 345,"11,26",2,-
4,7,Komunistická str.Čech a Moravy,9,Jadrná Antonie,64,KSČM,KSČM,479,"9,87",8,-
4,2,Věci veřejné,6,Jahoda Jan,61,VV,BEZPP,227,"9,55",-,-
1,5,Strana Práv Občanů ZEMANOVCI,1,Jakub Ladislav PhDr.,34,SPOZ,SPOZ,155,"19,69",-,-
1,12,TOP 09,1,Jakubec Aleš RNDr. Ph.D.,34,TOP 09,TOP 09,1 025,"13,76",1,*
3,11,Věci veřejné,8,Janáková Lucie Mgr.,35,VV,BEZPP,349,"11,60",-,-
5,1,Koruna Česká (monarch.strana),4,Jančík Zdeněk PaedDr.,50,KČ,BEZPP,47,"15,06",-,-
1,5,Strana Práv Občanů ZEMANOVCI,9,Janeček Pavel,32,SPOZ,BEZPP,63,"8,00",-,-
3,11,Věci veřejné,9,Janečková Blanka Mgr.,39,VV,BEZPP,320,"10,63",-,-
3,12,TOP 09,3,Janečková Ivana,52,TOP 09,TOP 09,684,"11,79",3,-
4,6,Strana Práv Občanů ZEMANOVCI,5,Jankovský Adolf PhDr.,73,SPOZ,BEZPP,66,"9,52",-,-
5,9,Suverenita-blok J.Bobošíkové,5,Ječmínek Miroslav,55,Suveren.,BEZPP,132,"9,82",-,-
3,6,Suverenita-blok J.Bobošíkové,7,Ječmínková Monika  DiS.,25,Suveren.,BEZPP,150,"9,35",-,-
2,5,Občanská demokratická strana,3,Jelínek Pavel Ing. Ph.D.,47,ODS,ODS,1 602,"11,78",3,*
5,13,Komunistická str.Čech a Moravy,5,Jeřábek Stanislav,60,KSČM,KSČM,552,"11,31",4,-
3,2,Česká str.sociálně demokrat.,7,Jirásek Stanislav Mgr. MBA,45,ČSSD,ČSSD,1 607,"10,79",3,-
1,9,Koruna Česká (monarch.strana),2,Jiříková Světlana Mgr.,38,KČ,BEZPP,36,"19,45",-,-
1,11,Komunistická str.Čech a Moravy,9,Juřica Stanislav Ing.,72,KSČM,KSČM,441,"10,13",8,-
3,8,Křesť.demokr.unie-Čs.str.lid.,4,Kacanu Eva,45,KDU-ČSL,BEZPP,382,"11,90",-,-
4,10,"Republ.str.Čech,Moravy a Slez.",4,Kadlec Miroslav,71,RSČMS,RSČMS,16,"8,33",-,-
2,3,Strana Práv Občanů ZEMANOVCI,5,Kadlec Tomáš Mgr.,27,SPOZ,BEZPP,132,"11,33",-,-
1,1,Křesť.demokr.unie-Čs.str.lid.,9,Kalman Josef Ing.,68,KDU-ČSL,KDU-ČSL,395,"9,53",8,-
2,9,TOP 09,8,Kalman Pavel Mgr.,54,TOP 09,BEZPP,892,"10,33",7,-
4,4,Křesť.demokr.unie-Čs.str.lid.,1,Kalodová Ivana,42,KDU-ČSL,KDU-ČSL,569,"13,81",1,-
3,1,Občanská demokratická strana,6,Kaněčková Hana Bc.,49,ODS,ODS,1 212,"10,85",3,-
2,4,Komunistická str.Čech a Moravy,3,Kania Jindřich PaedDr.,57,KSČM,KSČM,774,"11,94",2,-
4,8,Občanská demokratická strana,8,Karger Miloslav,70,ODS,ODS,1 208,"10,12",5,-
2,5,Občanská demokratická strana,5,Kaštil Josef,25,ODS,ODS,1 512,"11,12",2,-
4,9,Česká str.sociálně demokrat.,1,Kaštilová Tesařová Hana,51,ČSSD,ČSSD,1 557,"11,89",1,*
5,6,Křesť.demokr.unie-Čs.str.lid.,4,Kauer Vladimír,34,KDU-ČSL,KDU-ČSL,428,"10,32",3,-
5,2,Strana Práv Občanů ZEMANOVCI,4,Kellnerová Lenka,34,SPOZ,BEZPP,122,"14,26",-,-
5,7,Strana zelených,2,Kirschbaum Martin Ing.,44,SZ,BEZPP,376,"12,58",-,-
5,2,Strana Práv Občanů ZEMANOVCI,2,Klvač Jiří Ing. CSc.,63,SPOZ,BEZPP,140,"16,37",-,-
1,4,Česká str.sociálně demokrat.,4,Knapp Miloš Ing.,44,ČSSD,ČSSD,1 403,"11,19",1,-
1,5,Strana Práv Občanů ZEMANOVCI,5,Knappová Olga,36,SPOZ,BEZPP,90,"11,43",-,-
4,10,"Republ.str.Čech,Moravy a Slez.",8,Kneip František,34,RSČMS,BEZPP,17,"8,85",-,-
5,10,"Republ.str.Čech,Moravy a Slez.",9,Kneipová Gabriela,35,RSČMS,BEZPP,36,"10,74",-,-
1,2,Suverenita-blok J.Bobošíkové,2,Knobová Adéla MUDr.,53,Suveren.,BEZPP,163,"14,88",-,-
2,10,Suverenita-blok J.Bobošíkové,2,Knop-Kostková Marie MUDr.,66,Suveren.,BEZPP,238,"13,90",-,-
2,3,Strana Práv Občanů ZEMANOVCI,4,Kolář Milan Mgr. Ph.D.,38,SPOZ,BEZPP,159,"13,64",-,-
4,4,Křesť.demokr.unie-Čs.str.lid.,9,Kolář Pavel Ing. Bc.,52,KDU-ČSL,KDU-ČSL,377,"9,15",8,-
3,12,TOP 09,8,Kolář Petr Mgr.,35,TOP 09,TOP 09,594,"10,24",7,-
4,5,Strana zelených,6,Kollár Petr,26,SZ,SZ,121,"9,27",-,-
1,12,TOP 09,5,Kolomazník Miloslav Ing.,45,TOP 09,BEZPP,909,"12,20",4,-
2,1,Moravané,2,Komínek Leopold,38,M,BEZPP,52,"29,71",-,-
3,8,Křesť.demokr.unie-Čs.str.lid.,2,Konečná Renata Mgr.,37,KDU-ČSL,KDU-ČSL,391,"12,18",-,-
2,6,Křesť.demokr.unie-Čs.str.lid.,4,Konečný Petr Mgr. Ing.,43,KDU-ČSL,KDU-ČSL,463,"12,12",-,-
4,6,Strana Práv Občanů ZEMANOVCI,7,Konečný Richard,42,SPOZ,SPOZ,71,"10,24",-,-
1,5,Strana Práv Občanů ZEMANOVCI,7,Koníček Robert,69,SPOZ,BEZPP,64,"8,13",-,-
2,7,Věci veřejné,6,Konopková Dagmar,32,VV,BEZPP,300,"10,38",-,-
5,9,Suverenita-blok J.Bobošíkové,9,Konrád Miloslav,39,Suveren.,BEZPP,108,"8,03",-,-
5,10,"Republ.str.Čech,Moravy a Slez.",7,Konúpek Miloslav,61,RSČMS,BEZPP,28,"8,35",-,-
2,10,Suverenita-blok J.Bobošíkové,6,Korec Michal Ing.,42,Suveren.,BEZPP,175,"10,22",-,-
5,7,Strana zelených,6,Kortiš Štefan,43,SZ,BEZPP,289,"9,67",-,-
3,12,TOP 09,6,Kořínek Radim,36,TOP 09,BEZPP,624,"10,75",5,-
3,1,Občanská demokratická strana,1,Kosatík Ivan RNDr.,53,ODS,ODS,1 345,"12,04",1,*
1,1,Křesť.demokr.unie-Čs.str.lid.,4,Kosina Ivo,41,KDU-ČSL,KDU-ČSL,451,"10,89",3,-
1,6,Moravané,1,Koš Kamil,38,M,BEZPP,33,"44,00",-,-
2,6,Křesť.demokr.unie-Čs.str.lid.,1,Koubek Martin Ing.,40,KDU-ČSL,KDU-ČSL,465,"12,17",-,-
5,6,Křesť.demokr.unie-Čs.str.lid.,8,Koupilová Marcela Mgr.,37,KDU-ČSL,BEZPP,425,"10,25",7,-
2,1,Moravané,3,Kouřilová Helena,36,M,BEZPP,57,"32,57",-,-
4,9,Česká str.sociálně demokrat.,9,Koutná Helena,39,ČSSD,ČSSD,1 370,"10,46",6,-
4,5,Strana zelených,7,Kovačíková Tereza,25,SZ,BEZPP,151,"11,57",-,-
3,7,Strana Práv Občanů ZEMANOVCI,8,Kovář Petr Bc.,24,SPOZ,BEZPP,121,"8,97",-,-
5,7,Strana zelených,7,Král Michal MUDr.,30,SZ,BEZPP,335,"11,21",-,-
4,10,"Republ.str.Čech,Moravy a Slez.",3,Králík Milan,49,RSČMS,RSČMS,22,"11,45",-,-
1,10,Občanská demokratická strana,2,Králíková Barbora Mgr.,43,ODS,ODS,1 506,"11,30",2,*
5,5,Občanská demokratická strana,6,Králíková Djamila Mgr.,43,ODS,ODS,1 358,"11,02",4,-
4,8,Občanská demokratická strana,3,Krátký Jaroslav,38,ODS,ODS,1 366,"11,44",3,*
1,4,Česká str.sociálně demokrat.,2,Krček Antonín,62,ČSSD,ČSSD,1 413,"11,27",2,*
3,6,Suverenita-blok J.Bobošíkové,5,Krejčíková Blanka,40,Suveren.,BEZPP,184,"11,47",-,-
3,11,Věci veřejné,6,Krejčiříková Marie,64,VV,BEZPP,258,"8,57",-,-
4,5,Strana zelených,5,Krejčířová Květoslava,51,SZ,SZ,122,"9,34",-,-
5,8,Česká str.sociálně demokrat.,3,Kropáč Jiří Ing.,55,ČSSD,ČSSD,1 627,"11,54",3,*
3,9,Komunistická str.Čech a Moravy,1,Kropáček Antonín Ing.,47,KSČM,KSČM,722,"12,88",1,*
5,8,Česká str.sociálně demokrat.,2,Krosesková Vlasta PhDr.,44,ČSSD,ČSSD,1 627,"11,54",2,*
5,6,Křesť.demokr.unie-Čs.str.lid.,9,Krpec Jaroslav,69,KDU-ČSL,KDU-ČSL,375,"9,04",8,-
5,1,Koruna Česká (monarch.strana),1,Kryl Tomáš Ing.,34,KČ,BEZPP,59,"18,91",-,-
2,8,Strana zelených,7,Krylová Hana Mgr. et Mgr. Ph.D.,30,SZ,BEZPP,164,"10,18",-,-
3,3,Koruna Česká (monarch.strana),7,Kuba Václav,30,KČ,BEZPP,54,"12,55",-,-
3,3,Koruna Česká (monarch.strana),2,Kubáč Stanislav Ing.,25,KČ,BEZPP,49,"11,39",-,-
2,5,Občanská demokratická strana,9,Kubíček Radek Bc. DiS.,30,ODS,ODS,1 337,"9,83",6,-
1,4,Česká str.sociálně demokrat.,3,Kubjátová Yvona Mgr.,41,ČSSD,ČSSD,1 475,"11,77",3,*
1,9,Koruna Česká (monarch.strana),3,Kubová Mária,58,KČ,BEZPP,26,"14,05",-,-
4,4,Křesť.demokr.unie-Čs.str.lid.,8,Kunc Ladislav Ing.,67,KDU-ČSL,KDU-ČSL,403,"9,78",7,-
4,1,Suverenita-blok J.Bobošíkové,8,Kupka Petr,31,Suveren.,BEZPP,189,"9,53",-,-
4,2,Věci veřejné,4,Kůstka Martin Ing.,44,VV,BEZPP,274,"11,53",-,-
3,8,Křesť.demokr.unie-Čs.str.lid.,1,Kvapil Pavel Mgr.,45,KDU-ČSL,KDU-ČSL,485,"15,11",-,-
1,9,Koruna Česká (monarch.strana),6,Kvapil Tomáš,71,KČ,BEZPP,21,"11,35",-,-
5,5,Občanská demokratická strana,4,Kvapil Vladislav Mgr.,49,ODS,ODS,1 458,"11,84",2,-
5,8,Česká str.sociálně demokrat.,4,Labská Hana,55,ČSSD,ČSSD,1 711,"12,13",1,-
4,1,Suverenita-blok J.Bobošíkové,9,Láhner Jiří,21,Suveren.,BEZPP,173,"8,72",-,-
4,8,Občanská demokratická strana,6,Lahodová Ludmila MUDr.,57,ODS,ODS,1 336,"11,19",3,-
3,12,TOP 09,4,Langer Milan Mgr.,51,TOP 09,BEZPP,795,"13,70",1,*
2,7,Věci veřejné,5,Langerová Miluše Mgr.,48,VV,BEZPP,334,"11,56",-,-
4,11,TOP 09,9,Letocha Dušan Ing.,42,TOP 09,BEZPP,773,"10,16",8,-
4,4,Křesť.demokr.unie-Čs.str.lid.,7,Lexmaul Pavel,48,KDU-ČSL,KDU-ČSL,439,"10,66",6,-
