číslo,název,poř. číslo,"příjmení, jméno, tituly",věk,navrh. strana,polit. přísl.,abs.,v %,pořadí,mandát
7,TOP 09,41,Chytil Pavel MUDr. Mgr. MBA,45,TOP 09,TOP 09,1 804,"1,83",37,-
3,"REPUBL.STR.ČECH,MORAVY A SLEZ.",25,Ilgner Vladimír Ing.,73,SPR-RSČMS,BEZPP,82,"2,11",-,-
4,Patrioti PRO Olomouc,11,Ilíková Dana Mgr.,45,NK,BEZPP,294,"2,20",-,-
12,Komunistická str.Čech a Moravy,31,Jadrná Antonie,68,KSČM,KSČM,2 040,"2,16",27,-
7,TOP 09,1,Jakubec Aleš RNDr. Ph.D.,38,TOP 09,TOP 09,3 178,"3,22",1,*
11,Občané pro Olomouc,25,Jakubec Antonín,54,NK,BEZPP,1 596,"2,04",22,-
3,"REPUBL.STR.ČECH,MORAVY A SLEZ.",43,Jančík Zdenek,76,SPR-RSČMS,BEZPP,75,"1,93",-,-
9,Koruna Česká (monarch.strana),13,Jančík Zdeněk PaedDr.,54,KČ,BEZPP,126,"2,87",-,-
3,"REPUBL.STR.ČECH,MORAVY A SLEZ.",40,Jančíková Hana,64,SPR-RSČMS,BEZPP,72,"1,85",-,-
10,Strana Práv Občanů,19,Jankovský Adolf PhDr.,77,SPO,BEZPP,162,"2,98",-,-
4,Patrioti PRO Olomouc,6,Ječmínek Miroslav,59,NK,BEZPP,357,"2,67",-,-
6,ProOlomouc,19,Jeništa Alexandr Mgr.,37,ProOl,BEZPP,1 533,"3,15",17,-
11,Občané pro Olomouc,14,Jeništová Ivana,66,NK,BEZPP,1 853,"2,37",11,-
12,Komunistická str.Čech a Moravy,41,Jeřábek Stanislav,63,KSČM,KSČM,1 984,"2,10",37,-
8,Občanská demokratická strana,29,Jílek Jan,30,ODS,BEZPP,2 495,"2,12",24,-
5,Česká str.sociálně demokrat.,32,Jirásek Stanislav Mgr. MBA,49,ČSSD,ČSSD,4 407,"2,21",22,-
6,ProOlomouc,15,"Johnová Magda Ada MgA., BcA.",36,ProOl,BEZPP,1 526,"3,14",13,-
14,Úsvit přímé demokracie,13,Josefčuk Jiří,39,Úsvit,BEZPP,484,"2,10",-,-
9,Koruna Česká (monarch.strana),9,Juna Jan Ing.,53,KČ,BEZPP,167,"3,81",-,-
6,ProOlomouc,17,Jung Adam,25,ProOl,BEZPP,1 408,"2,90",15,-
6,ProOlomouc,8,Jung Filip Mgr.,28,ProOl,BEZPP,1 593,"3,28",6,-
14,Úsvit přímé demokracie,30,Jurečka Tomáš,26,Úsvit,BEZPP,481,"2,09",-,-
8,Občanská demokratická strana,26,Kacanu Eva,49,ODS,BEZPP,2 689,"2,28",21,-
3,"REPUBL.STR.ČECH,MORAVY A SLEZ.",18,Kadlec Miroslav,75,SPR-RSČMS,SPR-RSČMS,77,"1,98",-,-
10,Strana Práv Občanů,5,Kaláb Stanislav Mgr.,63,SPO,BEZPP,276,"5,08",-,-
1,Křesť.demokr.unie-Čs.str.lid.,4,Kalodová Ivana,46,KDU-ČSL,KDU-ČSL,2 710,"2,56",5,*
12,Komunistická str.Čech a Moravy,26,Kania Jindřich PaedDr.,61,KSČM,KSČM,2 121,"2,24",22,-
4,Patrioti PRO Olomouc,9,Kapplová Olga JUDr. Ph.D.,64,NK,BEZPP,367,"2,74",-,-
12,Komunistická str.Čech a Moravy,30,Karafiát Josef,56,KSČM,KSČM,2 083,"2,20",26,-
13,ANO 2011,43,Karger Josef Ing.,73,ANO,BEZPP,4 757,"1,90",31,-
7,TOP 09,32,Kašpar Martin,26,TOP 09,TOP 09,2 043,"2,07",28,-
8,Občanská demokratická strana,12,Kašpar Radim PhDr.,29,ODS,ODS,2 501,"2,12",9,-
1,Křesť.demokr.unie-Čs.str.lid.,39,Kauer Vladimír,38,KDU-ČSL,KDU-ČSL,2 058,"1,94",34,-
10,Strana Práv Občanů,8,Kellnerová Lenka,38,SPO,BEZPP,197,"3,62",-,-
2,Strana svobodných občanů,18,Keprt David Mgr.,32,Svobodní,BEZPP,509,"2,14",-,-
12,Komunistická str.Čech a Moravy,23,Klásek Ivan,69,KSČM,KSČM,2 079,"2,20",19,-
10,Strana Práv Občanů,20,Klčová Jitka,51,SPO,BEZPP,142,"2,61",-,-
2,Strana svobodných občanů,17,Kleinová Marta Ing.,32,Svobodní,BEZPP,528,"2,22",-,-
14,Úsvit přímé demokracie,20,Klímek Bohdan Ing.,50,Úsvit,BEZPP,489,"2,12",-,-
14,Úsvit přímé demokracie,26,Kobza Lukáš,26,Úsvit,BEZPP,506,"2,20",-,-
14,Úsvit přímé demokracie,4,Kociánová Helena,53,Úsvit,BEZPP,603,"2,62",-,-
11,Občané pro Olomouc,12,Kocourek František Ing.,41,Zelení,Zelení,1 731,"2,22",9,-
13,ANO 2011,29,Kolářová Eva  Dipl. Mgmt.,58,ANO,BEZPP,5 464,"2,19",17,-
1,Křesť.demokr.unie-Čs.str.lid.,6,Kolomazníková Jana PhDr.,37,KDU-ČSL,BEZPP,2 626,"2,48",1,-
8,Občanská demokratická strana,30,Konečná Olga,81,ODS,ODS,2 420,"2,05",25,-
1,Křesť.demokr.unie-Čs.str.lid.,8,Konečná Renata Mgr.,41,KDU-ČSL,KDU-ČSL,2 436,"2,30",3,-
1,Křesť.demokr.unie-Čs.str.lid.,25,Konečný Petr Mgr. Ing.,47,KDU-ČSL,KDU-ČSL,2 452,"2,31",20,-
10,Strana Práv Občanů,12,Konečný Richard,46,SPO,SPO,150,"2,76",-,-
12,Komunistická str.Čech a Moravy,38,Kopečný Antonín Ing.,69,KSČM,KSČM,2 008,"2,12",34,-
11,Občané pro Olomouc,9,Korda Jakub Mgr. Ph.D.,37,Zelení,Zelení,2 081,"2,66",4,-
14,Úsvit přímé demokracie,9,Korotvička Ladislav MUDr.,62,Úsvit,BEZPP,669,"2,91",-,-
11,Občané pro Olomouc,10,Kořínek Richard Mgr.,41,NK,BEZPP,2 191,"2,81",1,-
8,Občanská demokratická strana,6,Kosatík Ivan RNDr.,56,ODS,ODS,2 871,"2,44",5,-
1,Křesť.demokr.unie-Čs.str.lid.,5,Kosina Ivo,45,KDU-ČSL,KDU-ČSL,2 547,"2,40",2,-
1,Křesť.demokr.unie-Čs.str.lid.,22,Koubek Martin Ing.,44,KDU-ČSL,KDU-ČSL,2 304,"2,17",17,-
11,Občané pro Olomouc,22,Koukal Ivo Ing.,47,NK,BEZPP,1 677,"2,15",19,-
12,Komunistická str.Čech a Moravy,45,Kouřil Jan,78,KSČM,KSČM,1 817,"1,92",41,-
14,Úsvit přímé demokracie,32,Kousal David Mgr.,35,Úsvit,BEZPP,481,"2,09",-,-
11,Občané pro Olomouc,1,Kovaříková Dominika Mgr.,36,NK,BEZPP,2 539,"3,25",1,*
4,Patrioti PRO Olomouc,44,Kováříková Radka,38,NK,BEZPP,226,"1,69",-,-
1,Křesť.demokr.unie-Čs.str.lid.,23,Kozák Richard Mgr.,41,KDU-ČSL,KDU-ČSL,2 273,"2,14",18,-
12,Komunistická str.Čech a Moravy,18,Krajsová Jana,55,KSČM,KSČM,2 109,"2,23",14,-
14,Úsvit přímé demokracie,37,Král Jaroslav,58,Úsvit,BEZPP,468,"2,03",-,-
1,Křesť.demokr.unie-Čs.str.lid.,11,Král Milan MUDr. Ph.D.,35,KDU-ČSL,BEZPP,2 566,"2,42",6,-
9,Koruna Česká (monarch.strana),1,Králík Zdeněk MVDr.,69,KČ,BEZPP,343,"7,83",-,-
5,Česká str.sociálně demokrat.,12,Krček Antonín,66,ČSSD,ČSSD,4 459,"2,24",2,-
14,Úsvit přímé demokracie,31,Krečman Karel,60,Úsvit,BEZPP,455,"1,98",-,-
10,Strana Práv Občanů,14,Krejčí Květoslav PhDr.,61,SPO,BEZPP,156,"2,87",-,-
11,Občané pro Olomouc,4,Krejčí Michal Mgr.,40,NK,LES,2 280,"2,92",2,*
4,Patrioti PRO Olomouc,31,Krejzová Ivana,44,NK,BEZPP,260,"1,94",-,-
4,Patrioti PRO Olomouc,20,Krmela Jan,27,NK,BEZPP,268,"2,00",-,-
5,Česká str.sociálně demokrat.,7,Kropáč Jiří Ing.,59,ČSSD,ČSSD,4 633,"2,32",7,*
12,Komunistická str.Čech a Moravy,5,Kropáček Antonín Ing.,51,KSČM,KSČM,2 275,"2,40",1,-
4,Patrioti PRO Olomouc,30,Kroutil Mario,21,NK,BEZPP,256,"1,91",-,-
12,Komunistická str.Čech a Moravy,14,Krsková Lenka,44,KSČM,KSČM,2 201,"2,33",10,-
6,ProOlomouc,27,Krtičková Blanka MUDr.,57,ProOl,BEZPP,1 584,"3,26",25,-
9,Koruna Česká (monarch.strana),20,Kryl Tomáš Ing.,38,KČ,BEZPP,151,"3,44",-,-
13,ANO 2011,21,Kryl Václav,49,ANO,ANO,5 578,"2,23",9,-
14,Úsvit přímé demokracie,35,Křena Miroslav,59,Úsvit,BEZPP,457,"1,98",-,-
1,Křesť.demokr.unie-Čs.str.lid.,31,Křivánek Jaroslav Mgr.,35,KDU-ČSL,BEZPP,2 232,"2,11",26,-
13,ANO 2011,18,Křivánková Janka Mgr.,41,ANO,ANO,5 684,"2,28",6,-
3,"REPUBL.STR.ČECH,MORAVY A SLEZ.",10,Kuba Dalibor Ing.,70,SPR-RSČMS,SPR-RSČMS,99,"2,55",-,-
9,Koruna Česká (monarch.strana),26,Kuba Václav,34,KČ,BEZPP,143,"3,26",-,-
9,Koruna Česká (monarch.strana),15,Kubáč Stanislav Ing.,29,KČ,BEZPP,139,"3,17",-,-
11,Občané pro Olomouc,42,Kubíček Miroslav Mgr.,30,Zelení,BEZPP,1 400,"1,79",39,-
9,Koruna Česká (monarch.strana),11,Kubová Mária,62,KČ,BEZPP,119,"2,71",-,-
1,Křesť.demokr.unie-Čs.str.lid.,33,Kučera Martin PhDr.,33,KDU-ČSL,BEZPP,2 191,"2,07",28,-
4,Patrioti PRO Olomouc,16,Kučera Michal,22,NK,BEZPP,260,"1,94",-,-
6,ProOlomouc,26,Kůdelová Jirsová Eva,35,ProOl,BEZPP,1 349,"2,77",24,-
13,ANO 2011,12,Kuchař Jaroslav Ing.,58,ANO,ANO,5 773,"2,31",1,-
13,ANO 2011,14,Kuchválek Miroslav,67,ANO,ANO,5 625,"2,25",3,-
7,TOP 09,42,Kunc Radovan Ing.,49,TOP 09,TOP 09,1 698,"1,72",38,-
14,Úsvit přímé demokracie,14,Kůstka Jakub,25,Úsvit,BEZPP,498,"2,16",-,-
14,Úsvit přímé demokracie,3,Kůstka Martin Ing.,48,Úsvit,VV,665,"2,89",-,-
14,Úsvit přímé demokracie,22,Kůstková Pavlína,46,Úsvit,BEZPP,483,"2,10",-,-
7,TOP 09,26,Kutra Petr,65,TOP 09,BEZPP,2 150,"2,18",22,-
1,Křesť.demokr.unie-Čs.str.lid.,44,Kvapil Břetislav Ing.,59,KDU-ČSL,BEZPP,1 802,"1,70",39,-
9,Koruna Česká (monarch.strana),22,Kvapil Tomáš,75,KČ,BEZPP,114,"2,60",-,-
8,Občanská demokratická strana,16,Kvapil Vladislav,53,ODS,ODS,2 905,"2,46",3,-
1,Křesť.demokr.unie-Čs.str.lid.,10,Kvapilová Kristina Mgr.,25,KDU-ČSL,KDU-ČSL,2 499,"2,36",5,-
5,Česká str.sociálně demokrat.,29,Labská Hana,59,ČSSD,ČSSD,4 406,"2,21",19,-
13,ANO 2011,20,Lakomá Iva RNDr.,51,ANO,BEZPP,5 664,"2,27",8,-
7,TOP 09,44,Langer Adam,18,TOP 09,TOP 09,1 536,"1,55",40,-
7,TOP 09,17,Langer Milan Mgr.,55,TOP 09,BEZPP,2 494,"2,53",2,-
4,Patrioti PRO Olomouc,39,Láník Karel,23,NK,BEZPP,233,"1,74",-,-
4,Patrioti PRO Olomouc,13,Látalová Aneta Ing.,25,NK,BEZPP,304,"2,27",-,-
7,TOP 09,37,Letocha Dušan Ing.,46,TOP 09,TOP 09,1 929,"1,95",33,-
13,ANO 2011,30,Lindner Radim Mgr.,36,ANO,BEZPP,5 508,"2,20",18,-
2,Strana svobodných občanů,37,Linhart Miloš,43,Svobodní,BEZPP,498,"2,09",-,-
7,TOP 09,19,Lochmanová Ludmila doc. JUDr. Ph.D.,55,TOP 09,TOP 09,2 311,"2,34",15,-
7,TOP 09,22,Losert Svatopluk,57,TOP 09,TOP 09,2 156,"2,18",18,-
13,ANO 2011,7,Lošťák Jaromír,41,ANO,ANO,5 839,"2,34",8,*
6,ProOlomouc,5,Lubič Martin ak. soch.,52,ProOl,ProOl,2 008,"4,13",3,-
3,"REPUBL.STR.ČECH,MORAVY A SLEZ.",6,Lutrová Radka,41,SPR-RSČMS,BEZPP,102,"2,62",-,-
6,ProOlomouc,6,Macek Petr,34,ProOl,ProOl,1 774,"3,65",4,-
12,Komunistická str.Čech a Moravy,6,Mádr Marek Mgr.,42,KSČM,BEZPP,2 217,"2,34",2,-
4,Patrioti PRO Olomouc,28,Macháček Petr,34,NK,BEZPP,246,"1,84",-,-
7,TOP 09,6,Machová Eva Mgr.,57,TOP 09,TOP 09,2 904,"2,94",2,*
8,Občanská demokratická strana,1,Major Martin JUDr. MBA,35,ODS,ODS,3 581,"3,04",1,*
4,Patrioti PRO Olomouc,18,Malík Michal Ing.,28,NK,BEZPP,285,"2,13",-,-
12,Komunistická str.Čech a Moravy,15,Marčan Vladimír,58,KSČM,BEZPP,2 130,"2,25",11,-
8,Občanská demokratická strana,23,Mareček Lukáš Mgr.,32,ODS,BEZPP,2 654,"2,25",18,-
12,Komunistická str.Čech a Moravy,1,Marek Miroslav Ing.,61,KSČM,KSČM,2 356,"2,49",1,*
8,Občanská demokratická strana,9,Mareš Ivo MUDr. MBA,50,ODS,ODS,3 129,"2,65",5,*
6,ProOlomouc,23,Mareš Jaroslav,38,ProOl,BEZPP,1 339,"2,75",21,-
6,ProOlomouc,18,Mareš Michal,38,ProOl,BEZPP,1 407,"2,89",16,-
12,Komunistická str.Čech a Moravy,7,Marková Kateřina Ing.,28,KSČM,BEZPP,2 227,"2,35",3,-
12,Komunistická str.Čech a Moravy,33,Martinů Ludmila,64,KSČM,KSČM,2 026,"2,14",29,-
9,Koruna Česká (monarch.strana),23,Martynov Petr,62,KČ,BEZPP,113,"2,58",-,-
9,Koruna Česká (monarch.strana),12,Martynov Viktor Mgr.,58,KČ,BEZPP,122,"2,78",-,-
10,Strana Práv Občanů,7,Mastík Jiří Mgr.,48,SPO,BEZPP,191,"3,51",-,-
2,Strana svobodných občanů,10,Maťašovský Martin Mgr.,34,Svobodní,BEZPP,576,"2,42",-,-
4,Patrioti PRO Olomouc,3,Matějková Soňa Mgr.,33,NK,BEZPP,519,"3,88",-,-
11,Občané pro Olomouc,17,Mátlová Kateřina Ing.,30,Piráti,BEZPP,1 658,"2,12",14,-
11,Občané pro Olomouc,32,Matýsek Tomáš Bc.,29,NK,BEZPP,1 590,"2,03",29,-
3,"REPUBL.STR.ČECH,MORAVY A SLEZ.",21,Mazal Karel,47,SPR-RSČMS,SPR-RSČMS,88,"2,26",-,-
1,Křesť.demokr.unie-Čs.str.lid.,28,Mazoch Michael MVDr.,58,KDU-ČSL,BEZPP,2 428,"2,29",23,-
5,Česká str.sociálně demokrat.,13,Medveďová Gabriela Mgr.,41,ČSSD,ČSSD,4 649,"2,33",3,-
4,Patrioti PRO Olomouc,19,Melicherová Kristýna,26,NK,BEZPP,280,"2,09",-,-
5,Česká str.sociálně demokrat.,22,Mencl Michael Mgr.,31,ČSSD,ČSSD,4 455,"2,23",12,-
2,Strana svobodných občanů,23,Menoušek Jaroslav Ing.,32,Svobodní,BEZPP,500,"2,10",-,-
6,ProOlomouc,16,Mertová Martina Mgr.,36,ProOl,BEZPP,1 531,"3,15",14,-
5,Česká str.sociálně demokrat.,11,"Mezihorák František Prof. PhDr. CSc., dr.h.c.",77,ČSSD,ČSSD,4 798,"2,41",1,-
7,TOP 09,15,Mihal Jaroslav Ing.,37,TOP 09,TOP 09,2 271,"2,30",13,-
12,Komunistická str.Čech a Moravy,9,Michálek Petr Mgr.,72,KSČM,KSČM,2 161,"2,28",5,-
13,ANO 2011,5,Mikeš František Ing.,67,ANO,ANO,5 807,"2,32",6,*
3,"REPUBL.STR.ČECH,MORAVY A SLEZ.",37,Mikloš Jaroslav,72,SPR-RSČMS,BEZPP,74,"1,90",-,-
14,Úsvit přímé demokracie,25,Mikšíová Karla,23,Úsvit,BEZPP,473,"2,05",-,-
13,ANO 2011,28,Milov Petr,23,ANO,BEZPP,5 449,"2,18",16,-
4,Patrioti PRO Olomouc,14,Minárik Tomáš,43,NK,BEZPP,259,"1,93",-,-
5,Česká str.sociálně demokrat.,38,Minařík František Ing.,68,ČSSD,ČSSD,4 133,"2,07",28,-
3,"REPUBL.STR.ČECH,MORAVY A SLEZ.",45,Mlčoch Josef,82,SPR-RSČMS,BEZPP,76,"1,95",-,-
2,Strana svobodných občanů,6,Modrianský Miroslav,59,Svobodní,Svobodní,564,"2,37",-,-
11,Občané pro Olomouc,45,Molin Ondřej Mgr.,32,NK,BEZPP,1 176,"1,50",42,-
13,ANO 2011,34,Molnár Jakub Bc.,23,ANO,BEZPP,5 327,"2,13",22,-
10,Strana Práv Občanů,3,Motyka Jeroným,62,SPO,SPO,239,"4,40",-,-
10,Strana Práv Občanů,22,Motyková Naděžda,61,SPO,SPO,142,"2,61",-,-
7,TOP 09,11,Moudrá Jana Ing.,54,TOP 09,TOP 09,2 290,"2,32",9,-
3,"REPUBL.STR.ČECH,MORAVY A SLEZ.",7,Mráček Roman,45,SPR-RSČMS,BEZPP,93,"2,39",-,-
5,Česká str.sociálně demokrat.,36,Mrajca Jan,59,ČSSD,ČSSD,4 186,"2,10",26,-
12,Komunistická str.Čech a Moravy,13,Mulák Pavel Alexej,34,KSČM,KSČM,2 141,"2,26",9,-
6,ProOlomouc,9,Mutňanský Jan MDDr.,29,ProOl,BEZPP,1 600,"3,29",7,-
7,TOP 09,2,Navrátil Petr Ing. Ph.D.,53,TOP 09,TOP 09,2 486,"2,52",4,-
2,Strana svobodných občanů,27,Němcová Vladimíra,55,Svobodní,BEZPP,496,"2,08",-,-
2,Strana svobodných občanů,39,Němec Jiří Ing.,31,Svobodní,BEZPP,460,"1,93",-,-
8,Občanská demokratická strana,3,Neoral Čestmír prof. MUDr. CSc.,61,ODS,BEZPP,3 471,"2,95",2,*
11,Občané pro Olomouc,6,Nepejchal Jakub Bc.,27,Piráti,Piráti,1 925,"2,46",7,-
2,Strana svobodných občanů,1,Nepšinský Roman Mgr.,35,Svobodní,Svobodní,775,"3,26",-,-
3,"REPUBL.STR.ČECH,MORAVY A SLEZ.",35,Nétek Lukáš,34,SPR-RSČMS,SPR-RSČMS,73,"1,88",-,-
8,Občanská demokratická strana,42,Novák Antonín Mgr.,36,ODS,ODS,2 152,"1,82",37,-
3,"REPUBL.STR.ČECH,MORAVY A SLEZ.",38,Novák David,32,SPR-RSČMS,BEZPP,77,"1,98",-,-
7,TOP 09,31,Novák Jiří MUDr.,48,TOP 09,BEZPP,2 079,"2,11",27,-
3,"REPUBL.STR.ČECH,MORAVY A SLEZ.",9,Nováková Lena,49,SPR-RSČMS,BEZPP,92,"2,37",-,-
8,Občanská demokratická strana,34,Nováková Marie,75,ODS,ODS,2 388,"2,03",29,-
9,Koruna Česká (monarch.strana),6,Novotná Eva Mgr.,47,KČ,BEZPP,167,"3,81",-,-
8,Občanská demokratická strana,4,Novotná Věra,40,ODS,ODS,3 091,"2,62",1,-
3,"REPUBL.STR.ČECH,MORAVY A SLEZ.",28,Novotná Zdeňka,56,SPR-RSČMS,BEZPP,79,"2,03",-,-
2,Strana svobodných občanů,29,Novotná Faltýnková Lenka,51,Svobodní,BEZPP,479,"2,01",-,-
2,Strana svobodných občanů,19,Novotný Jiří Ing.,54,Svobodní,BEZPP,507,"2,13",-,-
5,Česká str.sociálně demokrat.,35,Novotný Milan,63,ČSSD,ČSSD,4 237,"2,12",25,-
3,"REPUBL.STR.ČECH,MORAVY A SLEZ.",5,Novotný Viktor,56,SPR-RSČMS,SPR-RSČMS,108,"2,78",-,-
7,TOP 09,36,Nykl Jan Mgr.,50,TOP 09,TOP 09,1 949,"1,97",32,-
11,Občané pro Olomouc,5,Ondroušek Josef Mgr.,46,NK,BEZPP,1 964,"2,51",6,-
7,TOP 09,23,"Ondrová Dana MUDr. Ph.D., MBA",46,TOP 09,TOP 09,2 238,"2,27",19,-
3,"REPUBL.STR.ČECH,MORAVY A SLEZ.",15,Otisk Petr,66,SPR-RSČMS,BEZPP,73,"1,88",-,-
3,"REPUBL.STR.ČECH,MORAVY A SLEZ.",12,Otisková Marcela,64,SPR-RSČMS,BEZPP,81,"2,08",-,-
3,"REPUBL.STR.ČECH,MORAVY A SLEZ.",39,Ovčáčíková Alena PhDr.,58,SPR-RSČMS,BEZPP,115,"2,96",-,-
13,ANO 2011,32,"Padalík Ilja  LLM,MSc, BA",43,ANO,BEZPP,5 444,"2,18",20,-
1,Křesť.demokr.unie-Čs.str.lid.,27,Pachta Petr Mgr.,30,KDU-ČSL,KDU-ČSL,2 232,"2,11",22,-
11,Občané pro Olomouc,37,Palaščáková Dita Mgr.,34,Zelení,NV,1 630,"2,09",34,-
9,Koruna Česká (monarch.strana),8,Palatý Marta,73,KČ,KČ,127,"2,90",-,-
3,"REPUBL.STR.ČECH,MORAVY A SLEZ.",14,Palmová Jaroslava,57,SPR-RSČMS,SPR-RSČMS,78,"2,00",-,-
1,Křesť.demokr.unie-Čs.str.lid.,14,Parma Tomáš Mgr. Ph.D.,43,KDU-ČSL,BEZPP,2 411,"2,27",9,-
9,Koruna Česká (monarch.strana),4,Pavlíková Jana Bc.,35,KČ,BEZPP,143,"3,26",-,-
8,Občanská demokratická strana,44,Pavlůsek Tomáš,41,ODS,ODS,2 047,"1,74",39,-
4,Patrioti PRO Olomouc,10,Pazdera Martin,33,NK,BEZPP,293,"2,19",-,-
6,ProOlomouc,2,Pejpek Tomáš Ing. arch.,47,ProOl,ProOl,2 403,"4,95",2,*
9,Koruna Česká (monarch.strana),25,Pekár Martin,36,KČ,BEZPP,112,"2,55",-,-
1,Křesť.demokr.unie-Čs.str.lid.,3,Pelikán Matouš Mgr.,32,KDU-ČSL,KDU-ČSL,2 830,"2,67",3,*
1,Křesť.demokr.unie-Čs.str.lid.,29,Pelikán Šimon Mgr.,28,KDU-ČSL,BEZPP,2 440,"2,30",24,-
12,Komunistická str.Čech a Moravy,25,Peňáz Ivo,66,KSČM,KSČM,2 066,"2,18",21,-
14,Úsvit přímé demokracie,18,Periňár Imrich,53,Úsvit,BEZPP,468,"2,03",-,-
14,Úsvit přímé demokracie,24,Periňárová Ludmila,57,Úsvit,BEZPP,479,"2,08",-,-
5,Česká str.sociálně demokrat.,3,Petřík Miroslav Bc.,44,ČSSD,ČSSD,4 863,"2,44",3,*
7,TOP 09,29,Píchová Lenka,37,TOP 09,TOP 09,2 090,"2,12",25,-
11,Občané pro Olomouc,3,Pikal Vojtěch Bc.,27,Piráti,Piráti,2 150,"2,75",2,-
13,ANO 2011,19,Pilát Miroslav PaedDr. Ph.D.,55,ANO,BEZPP,5 802,"2,32",7,-
4,Patrioti PRO Olomouc,15,Pilatíková Alice Mgr.,27,NK,BEZPP,283,"2,11",-,-
14,Úsvit přímé demokracie,29,Plachá Marcela,43,Úsvit,BEZPP,481,"2,09",-,-
14,Úsvit přímé demokracie,23,Plachý Dušan,48,Úsvit,BEZPP,479,"2,08",-,-
14,Úsvit přímé demokracie,21,Plachý Lukáš,22,Úsvit,BEZPP,482,"2,09",-,-
8,Občanská demokratická strana,10,Plíhalová Ivana,52,ODS,BEZPP,3 244,"2,75",4,*
11,Občané pro Olomouc,36,Polách Vladimír Mgr. Ph.D.,37,Zelení,Zelení,1 616,"2,07",33,-
10,Strana Práv Občanů,10,Poláchová Olga,40,SPO,BEZPP,195,"3,59",-,-
10,Strana Práv Občanů,9,Ponížil Milan,60,SPO,BEZPP,195,"3,59",-,-
13,ANO 2011,25,Popelák Lukáš,27,ANO,ANO,5 519,"2,21",13,-
8,Občanská demokratická strana,19,Pospiechová Renata Mgr.,34,ODS,ODS,2 472,"2,10",14,-
8,Občanská demokratická strana,35,Pospíšil Martin Ing.,37,ODS,ODS,2 349,"1,99",30,-
9,Koruna Česká (monarch.strana),18,Pospíšil Mojmír,39,KČ,BEZPP,133,"3,03",-,-
14,Úsvit přímé demokracie,6,Pospíšil Roman PhDr. Mgr. Bc.,47,Úsvit,BEZPP,704,"3,06",-,-
12,Komunistická str.Čech a Moravy,20,Pospíšilová Eva,64,KSČM,KSČM,2 088,"2,21",16,-
7,TOP 09,14,Pospíšilová Isabela Mgr.,40,TOP 09,TOP 09,2 280,"2,31",12,-
11,Občané pro Olomouc,33,Potůčková Martina Mgr.,38,NK,BEZPP,1 621,"2,07",30,-
13,ANO 2011,24,Pour Lukáš  DiS.,33,ANO,ANO,5 483,"2,19",12,-
2,Strana svobodných občanů,9,Pracný Petr Ing.,60,Svobodní,Svobodní,546,"2,29",-,-
6,ProOlomouc,25,Prágerová Veronika,46,ProOl,BEZPP,1 435,"2,95",23,-
13,ANO 2011,6,Prchalová Petra Mgr. Bc.,28,ANO,ANO,5 850,"2,34",7,*
1,Křesť.demokr.unie-Čs.str.lid.,7,Procházka Petr MVDr.,50,KDU-ČSL,KDU-ČSL,2 765,"2,61",4,*
8,Občanská demokratická strana,36,Prošvic David,36,ODS,ODS,2 344,"1,99",31,-
7,TOP 09,45,Provázek Michal,33,TOP 09,BEZPP,1 370,"1,39",41,-
13,ANO 2011,4,Přerovský Martin Mgr.,35,ANO,ANO,6 074,"2,43",5,*
5,Česká str.sociálně demokrat.,43,Přidal Karel RNDr.,60,ČSSD,ČSSD,3 871,"1,94",33,-
13,ANO 2011,23,Přikrylová Dagmar MUDr.,42,ANO,BEZPP,5 675,"2,27",11,-
5,Česká str.sociálně demokrat.,15,Ptačovský Zdeněk,60,ČSSD,ČSSD,4 459,"2,24",5,-
14,Úsvit přímé demokracie,19,Rábel Lukáš,22,Úsvit,BEZPP,479,"2,08",-,-
14,Úsvit přímé demokracie,7,Rábel Patrik Ing.,42,Úsvit,BEZPP,632,"2,75",-,-
14,Úsvit přímé demokracie,43,Rabenseifnerová Jana,22,Úsvit,BEZPP,421,"1,83",-,-
4,Patrioti PRO Olomouc,24,Rajčák Pavel,26,NK,BEZPP,246,"1,84",-,-
8,Občanská demokratická strana,20,Rak Martin Mgr.,39,ODS,BEZPP,2 644,"2,24",15,-
11,Občané pro Olomouc,13,Reichová Dagmar Ing.,44,NK,BEZPP,1 863,"2,38",10,-
12,Komunistická str.Čech a Moravy,8,Reichová Marcela,55,KSČM,KSČM,2 174,"2,30",4,-
11,Občané pro Olomouc,11,Reiter Miloš,33,Piráti,Piráti,1 785,"2,28",8,-
9,Koruna Česká (monarch.strana),16,Richter Štefan,44,KČ,BEZPP,128,"2,92",-,-
1,Křesť.demokr.unie-Čs.str.lid.,38,Roubínek Pavel Mgr.,29,KDU-ČSL,BEZPP,2 083,"1,96",33,-
2,Strana svobodných občanů,31,Rozehnalová Ladislava Ing.,64,Svobodní,BEZPP,480,"2,02",-,-
12,Komunistická str.Čech a Moravy,28,Rozkoš Michal,79,KSČM,KSČM,2 051,"2,17",24,-
2,Strana svobodných občanů,21,Rusnok Michal,25,Svobodní,BEZPP,503,"2,11",-,-
7,TOP 09,43,Růžička Michal Mgr. Ph.D.,34,TOP 09,BEZPP,1 655,"1,68",39,-
1,Křesť.demokr.unie-Čs.str.lid.,32,Růžičková Šárka Mgr.,31,KDU-ČSL,BEZPP,2 296,"2,17",27,-
11,Občané pro Olomouc,44,Rygel David Bc.,43,NK,BEZPP,1 297,"1,66",41,-
