číslo,název,poř. číslo,"příjmení, jméno, tituly",věk,navrh. strana,polit. přísl.,abs.,v %,pořadí,mandát
1,Křesť.demokr.unie-Čs.str.lid.,35,Výmola Miroslav Mgr.,31,KDU-ČSL,BEZPP,2 097,"1,98",30,-
7,TOP 09,5,Vysoudil Martin Mgr.,32,TOP 09,TOP 09,2 414,"2,45",6,-
13,ANO 2011,44,Wagner Jaroslav RNDr. Ph.D.,61,ANO,BEZPP,4 697,"1,88",32,-
13,ANO 2011,41,Wagner Zdenek Ing.,40,ANO,BEZPP,5 057,"2,02",29,-
5,Česká str.sociálně demokrat.,9,Weiermüllerová Jitka,43,ČSSD,ČSSD,4 631,"2,32",9,*
12,Komunistická str.Čech a Moravy,40,Weinertová Ivanka,73,KSČM,KSČM,1 982,"2,09",36,-
7,TOP 09,38,Werdichová Jana,49,TOP 09,TOP 09,1 914,"1,94",34,-
14,Úsvit přímé demokracie,5,Werner Eduard Ing.,62,Úsvit,BEZPP,626,"2,72",-,-
4,Patrioti PRO Olomouc,43,Wittmannová Žaneta,40,NK,BEZPP,224,"1,67",-,-
8,Občanská demokratická strana,31,Záhora Benedikt,39,ODS,ODS,2 391,"2,03",26,-
7,TOP 09,20,Zapletal Jan Mgr.,30,TOP 09,TOP 09,2 191,"2,22",16,-
7,TOP 09,27,Zapletal Ladislav MUDr.,60,TOP 09,TOP 09,2 266,"2,30",23,-
14,Úsvit přímé demokracie,11,Zapletal Marek,40,Úsvit,BEZPP,502,"2,18",-,-
5,Česká str.sociálně demokrat.,14,Zatloukal Pavel,50,ČSSD,ČSSD,4 608,"2,31",4,-
12,Komunistická str.Čech a Moravy,2,Zima Jiří PhDr.,54,KSČM,KSČM,2 305,"2,44",3,*
5,Česká str.sociálně demokrat.,5,Žáček Filip Mgr.,27,ČSSD,ČSSD,4 670,"2,34",5,*
13,ANO 2011,37,Žáková Daniela,40,ANO,BEZPP,5 275,"2,11",25,-
13,ANO 2011,2,Žbánek Miroslav Mgr. MPA,41,ANO,ANO,6 095,"2,44",3,*
13,ANO 2011,35,Živcová Lucie,40,ANO,BEZPP,5 413,"2,17",23,-
1,Křesť.demokr.unie-Čs.str.lid.,34,Žůrková Dagmar Mgr.,65,KDU-ČSL,KDU-ČSL,2 143,"2,02",29,-
11,Občané pro Olomouc,21,Žwak Pavel Mgr.,31,Zelení,BEZPP,1 612,"2,06",18,-
