nazev,hlasy abs,hlasy %,zastupitele abs,zastupitele %


Křesťanská a demokratická unie - Československá strana lidová,36 215,14.29,13,15.48
Česká strana národně sociální,2 854,1.13,0,0.00
Česká strana sociálně demokratická,43 429,17.14,13,15.48
Komunistická strana Čech a Moravy,40 148,15.84,12,14.29
Občanská demokratická strana,50 307,19.85,16,19.05
Sdružení nezávislých kandidátů - místní sdružení celkem,47 496,18.74,21,25.00
Unie svobody - Demokratická unie,15 436,6.09,4,4.76
Hnutí nezávislých za harmonický rozvoj obcí a měst,3 546,1.40,0,0.00
SNK Evropští demokraté,12 565,4.96,4,4.76
"Sdružení ČSSD, NK",1 411,0.56,1,1.19
